alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3,country,domain,last_15_days_mape
0.5846916933896043,1.9602104224241679,0.3711124803389217,0.01009819890467023,0.0003887734616150884,2.544429387358078,0.10096232422788412,77.71628099482619,0.6490698895459949,53.82774680414811,0.4424656381713703,0.0020367181185505625,Argentina,,2.2841553309529488
0.2698515749823244,0.0,1.0,1.0,0.0,0.2930711276130751,0.2,0.0,8.22,52.39267707703613,1.3426658622586092,1.0,Australia,,2.011010495485467
0.6247244349456117,0.006247402099379848,0.9379801000681638,0.0014909459781180523,0.0009345901775233978,3.5951716883548475,0.2,0.05187290268325095,2.289786418807674,72.71086470971125,0.11238627319074057,1.0,Austria,,0.7179060467040045
0.8060719795206205,0.1746288101412214,0.7962201203980794,0.017574587657300356,0.003406340231846815,0.02030831170463108,0.05571729344167339,112.84829186854053,2.446801029384373,88.07412068234817,1.8400327925310132,0.0013952457228872156,Belgium,,0.9321206185473465
0.5306495286106457,2.0,1.0,0.0066029512676213375,0.0008656905554526029,4.040847329284864,0.1513054245807023,302.04750799473373,2.4842338629743024,63.72571956760382,1.3513918014037452,0.0007107640760063419,Bolivia,,8.353905773119045
0.7687913502158797,0.3206674298174965,0.46459750224634405,0.017833688413298132,0.0006800565663095393,2.2456307963911257,0.059215172747985205,1.123701828268585,8.190231287556127,0.9642537283464458,1.9275371762737965,0.014419002139840627,Brazil,,2.6426393806906145
0.866766879660985,1.999937616288849,0.6290781693242028,0.005885560829326231,0.00040050007837422186,0.9893393066643075,0.0387093261599964,14.561934431845868,6.109280581609811,89.1420986948556,1.165974720745753,0.006544986599189657,Canada,,0.6631871793635578
0.9006238069811745,2.0,1.0,0.0015445642050979647,0.0009936857125552034,1.1996625963296772,0.1974793244619334,13.74495113402031,0.7122649670487559,57.33838588083568,0.6902696654394864,0.010229995248076525,Chile,,2.1429955312227316
0.6375128543035764,1.0765552023399159,1.0,0.016259339867691125,0.0,0.7752245370777588,0.004708006370727985,13.020417600880037,8.22,62.243581722246475,1.9999166148138903,0.014204712118443374,China,,7.490919811748935
0.5182007333908579,1.7889762122883694,0.30283113529253325,0.015487375835024908,0.0006922309088636114,4.144767522997654,0.08055770529387095,179.8949043514492,5.521755463105184,9.810920738580483,0.22340460209753532,0.0017272122303130298,Colombia,,1.5234923237157247
0.49181315068316955,0.0,1.0,0.006315567196342853,0.00021991440148416697,3.023254716945683,0.016556862212153245,15.063135862597479,8.22,23.937626472581904,1.0801834940133832,0.0030389868942450205,Costa Rica,,2.1593216520076375
0.7535836363916786,1.554996967742703,0.492346687382733,0.013568864424619465,0.000250384275624016,2.795676764986803,0.008956548607756949,0.01465480453248691,5.6617850585341,3.0022875413306114,1.5504853863839854,0.038431009516684184,Democratic Republic of Congo,,2.8148668522034974
0.20759616009977322,4.5431656659645583e-05,1.0,0.015858686071930084,0.0006068753300199625,4.329118249151424,0.06616898312716726,329.4513888989467,8.22,4.730233342834771,1.9258891386219854,0.00025215100308897134,Denmark,,2.0757013110913434
0.4722846751120248,1.3913549218653911,1.0,0.009583991805058645,0.017237370999770796,0.0,0.19208720851691338,51.26616903757548,8.205369299109591,38.43530965552021,0.6080570457360714,0.004546841385888603,Ecuador,,9.946582956716792
0.0,0.0,1.0,1.0,0.0,4.5,0.0,0.0,6.918780329085374,186.11944495886564,0.37953055649995804,0.0,El Salvador,,0.0
0.6994204871325239,1.5781162013973955,0.40906254276887555,0.018429704260519708,0.0002770220504012544,0.36901816871262927,0.12539041967343004,41.86588584633448,3.3501000514731754,122.0528663535531,1.4258537306184578,0.009898945163015092,France,,1.8683462224766245
0.5274989743523475,1.9889975894223857,0.39087595215233106,0.01875214154662541,0.0,2.410512200420321,0.19999650826702103,6.950179200153229,7.521313159240636,5.125937952779437,1.8757543409731043,0.011689442086340035,Germany,,3.070640386526209
1.0,1.4137586768144257,0.3887573170954004,0.011747724220831923,0.0009934002723178126,1.0398281937277076,0.09377880813889446,2.41298232424837,2.948239752975312,85.85309036524805,0.8917998703765297,4.5166076051798276e-05,Ghana,,1.163506172887311
0.4135876275022714,0.7797894891653638,0.1920406923019174,0.013978355706355305,0.0005856287164348606,0.25093508045816293,0.031153254389245086,158.2102283146064,4.656702079851073,69.11016116285441,0.6025195400544117,0.0011670629952700118,Guatemala,,1.3899421159264373
0.5576081999273426,1.8916492850095855e-08,0.6280221483526365,0.0024785454107709715,0.0008082387198448115,2.0811609743109507,0.2,1.7701385706717299e-06,3.07766330739594,72.13293418232263,0.6191417541339419,0.6638815987550576,Ireland,,1.1348495784133745
0.6519883228374449,2.0,0.9988788882647399,0.012950816997603587,5.185278911690183e-06,2.726171886378239,0.2,0.00021366905385871926,1.1621964252410608,74.26369834567815,0.9094643552307708,0.927502438610084,Israel,,1.939406298033502
0.6050939727077709,2.0,0.4936437954037134,0.019221434491967226,0.000717501907386342,4.358570973797498,0.025351540301453708,8.730679688012442,1.0652880962469407,78.66059439760762,0.21478457371338333,0.026316437595480226,Italy,,0.20314745598288547
0.7343378583287083,1.3125429339738741,0.7352336428944151,0.009014546850347527,0.00063211720023576,2.539477146961085,0.02273377982017813,419.4062831839881,0.6112823064963906,27.187778329434767,1.6958762893306143,4.2215533067402064e-05,Japan,,0.4881531858767917
0.4395525851747802,0.0,0.14668966536611788,0.004654014823362251,8.410270555025967e-05,0.5913027909014668,0.2,15.665072141098728,3.7578987537863684,24.246664269787168,0.6575510240572111,0.03664093369407329,Mexico,,0.5777854372252912
