country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape,selftune_delphi_diff,guided_selftune_diff,guided_delphi_diff,best_method
Central African Republic,,44.62438126348769,903.4752370467928,6.4622115377398215,19.963738658733952,123.95767211914062,851.6063842773438,37.144676208496094,18.596445083618164,284.378662109375,694.3304443359375,51.29177474975586,15.22067928314209,51.86885276944906,157.27593994140625,209.1447927108553,Past-Guided
Chad,,29.46644260711096,31.685361209789352,7.196679209994515,3.668234544242077,112.070556640625,73.47382354736328,33.88642120361328,8.49315071105957,104.61666870117188,42.49387741088867,34.622615814208984,4.91483211517334,-41.78846233757393,30.97994613647461,-10.80851620109932,DELPHI
Angola,,13.003263174293934,418.9737995770012,4.498088062004567,23.89331021558295,201.6875915527344,918.347412109375,78.84982299804688,59.01533126831055,248.9448089599609,496.052734375,103.07437133789062,30.480010986328125,-499.3736125323738,422.294677734375,-77.07893479799878,DELPHI
Canada,Manitoba,3.031139939470202,7.086427135775055,1.3588907661924163,2.4026255969784858,46.25643157958984,22.07494163513184,19.14400100708008,7.521111488342285,305.05718994140625,340.5201416015625,118.63028717041016,115.7789306640625,-14.988514499356786,-318.44519996643066,-333.43371446578743,DELPHI
Canada,Alberta,61.09301463493766,106.02420206452796,6.013725302824936,1.6687923682915016,96.11260223388672,1475.15283203125,9.344813346862791,22.453670501708984,322.67236328125,1478.3577880859375,24.37692642211914,22.57882308959961,-1369.128629966722,-3.2049560546875,-1372.3335860214095,DELPHI
Cook Islands,,485.34710541187246,1657.1624592807225,30.61404554899457,32.488723076140374,352.5577392578125,2002.0849609375,29.41259765625,39.25522994995117,604.7354125976562,2103.3291015625,63.72026824951172,41.24188995361328,-344.9225016567775,-101.244140625,-446.1666422817775,DELPHI
Australia,Tasmania,2.0262260619083,2.522238334963151,1.0784022820525374,1.106244883755768,120.3773193359375,124.00440979003906,58.62900924682617,54.38789749145508,378.6815490722656,439.3656921386719,179.92234802246094,192.7042388916016,-121.48217145507591,-315.3612823486328,-436.8434538037087,DELPHI
Djibouti,,149.2823127170713,12048.73638202467,22.678257815812117,294.2201058065825,144.52603149414062,1789.910888671875,23.548980712890625,46.10274887084961,219.906982421875,1738.6715087890625,30.84465217590332,44.31269073486328,10258.825493352795,51.2393798828125,10310.064873235608,Past-Guided
Brazil,,591.9518016167013,109849.34101387652,11.693362542894308,40.69934801054853,1427.9752197265625,98148.125,13.398737907409668,45.37825393676758,1827.7109375,106509.6953125,15.4948148727417,50.59804153442383,11701.216013876518,-8361.5703125,3339.6457013765175,Self-tune
Algeria,,37.85864451409761,7497.30964204613,4.392173786247519,88.85725851050879,194.29632568359372,2441.23486328125,14.5304594039917,31.92515563964844,243.8585662841797,2348.440185546875,19.628568649291992,30.520124435424805,5056.07477876488,92.794677734375,5148.869456499255,Past-Guided
Canada,Ontario,81.87351152110548,2764.5425968142017,4.935051399010815,12.96911817528952,257.06207275390625,1002.6879272460938,10.220592498779297,4.603864669799805,411.0148620605469,963.8446655273438,16.030200958251953,4.287391662597656,1761.854669568108,38.84326171875,1800.697931286858,Past-Guided
Finland,,46.18771101695464,491.0835806936957,3.258978335470228,7.894095362994329,128.32211303710938,670.416015625,6.147459030151367,11.030390739440918,136.20294189453125,773.1089477539062,6.618095397949219,12.734882354736328,-179.3324349313043,-102.69293212890625,-282.02536706021056,DELPHI
Belgium,,384.31833334837904,521.1314091092177,13.70205244915913,1.0331929646925462,450.0162353515625,1809.7020263671875,5.397724151611328,3.467984199523926,931.0142822265624,2907.04052734375,11.347855567932127,5.636601448059082,-1288.5706172579698,-1097.3385009765625,-2385.9091182345323,DELPHI
Colombia,,53.54736821930519,6977.226536665735,4.204956174550153,35.336694563658696,152.84202575683594,6668.6962890625,10.27097225189209,39.77715301513672,525.9821166992188,6477.15087890625,26.505266189575195,37.75548553466797,308.5302476032348,191.54541015625,500.0756577594848,Past-Guided
Czechia,,136.52678504796154,553.905975742301,10.63573930191088,6.632387623406155,76.90338134765625,308.60260009765625,4.893727779388428,3.652888774871826,117.31544494628906,569.7421875,8.055968284606934,6.804009914398193,245.3033756446448,-261.13958740234375,-15.836211757698948,Self-tune
Canada,,327.2054166985835,4813.213117542213,8.414749420817722,7.086188687407305,759.607666015625,15117.3466796875,22.293426513671875,22.263830184936523,785.3741455078125,14614.9619140625,29.80364799499512,21.41335868835449,-10304.133562145287,502.384765625,-9801.748796520287,DELPHI
Comoros,,14.105732256502362,19.278187145570303,6.901226483751399,5.837480411062487,93.80221557617188,10.54075050354004,48.30936813354492,3.3039655685424805,350.2196350097656,325.3036804199219,161.31468200683594,99.9070816040039,8.737436642030262,-314.76292991638184,-306.02549327435156,Self-tune
Austria,,337.77387333986286,191.2049066884285,21.877814974330096,1.5242488071186306,374.9921875,634.4652099609375,19.99519920349121,5.101393222808838,571.7312622070312,205.43609619140625,29.036985397338867,1.6442043781280518,-443.26030327250896,429.02911376953125,-14.231189502977742,DELPHI
Eritrea,,10.765505104603966,6.929663905196435,5.4598113785398485,2.422196502149621,151.77259826660156,92.74232482910156,77.64569091796875,32.1899528503418,376.7121276855469,382.3260192871094,180.12059020996094,132.32894897460938,-85.81266092390513,-289.5836944580078,-375.39635538191294,DELPHI
Australia,Victoria,22.12031198762678,128.10920976918854,3.603239086887454,8.062608728443994,90.2542724609375,51.18759536743164,12.885308265686035,3.31699275970459,349.9496459960937,595.1543579101562,34.33134078979492,38.99714279174805,76.9216144017569,-543.9667625427246,-467.04514814096774,Self-tune
Gambia,,42.39139021333398,173.3982740374309,4.976708952998004,4.98181140739954,108.89576721191406,81.22067260742188,25.03954124450684,2.3414549827575684,134.8673858642578,241.697509765625,33.95433807373047,6.970888137817383,92.17760143000902,-160.47683715820312,-68.2992357281941,Self-tune
Guernsey,,8.316585990833826,10.459870849589157,3.7368607861348906,4.150742400630618,92.99434661865234,98.26793670654295,41.0179328918457,38.99521255493164,311.0771789550781,363.0138549804688,133.5734100341797,144.05311584472656,-87.8080658569538,-264.74591827392584,-352.55398413087966,DELPHI
Canada,Saskatchewan,13.846212996733614,2300.655100751732,4.275862427480054,358.1631162474524,90.66091918945312,184.39163208007807,30.65358543395996,29.546937942504883,230.1768035888672,50.96430206298828,76.9516830444336,8.228764533996582,2116.2634686716538,133.4273300170898,2249.6907986887436,Past-Guided
Gabon,,38.2669627499877,614.865157455322,7.924141759476573,16.003764649155347,174.52577209472656,474.0361633300781,58.78511047363281,11.713397026062012,248.06190490722656,619.5736083984375,68.11632537841797,14.078181266784668,140.82899412524387,-145.53744506835938,-4.708450943115508,Self-tune
Estonia,,1336.5800751438578,1864.384458880231,127.34859176173762,26.72385077563515,3560.37158203125,5101.228515625,169.7972412109375,73.10951232910156,3462.341796875,5078.353515625,125.2514877319336,72.78173065185547,-3236.8440567447687,22.875,-3213.9690567447687,DELPHI
Germany,,4897.2470437246175,3060.771205752108,56.39981591093175,2.091788290855447,40616.4375,150497.84375,161.05018615722656,98.72911071777344,5898.74755859375,20382.07421875,95.17857360839844,13.0427827835083,-147437.0725442479,130115.76953125,-17321.30301299789,DELPHI
Botswana,,27.86116857678064,198.4563852020966,7.0457926079990925,12.899074367818528,216.99696350097656,826.397705078125,60.29835510253906,58.08079147338867,221.519775390625,547.7915649414062,68.62444305419922,38.09373092651367,-627.9413198760284,278.60614013671875,-349.33517973930964,DELPHI
Azerbaijan,,71.85333932221245,9122.645994292434,10.065161561310925,164.00918243671882,108.86105346679688,1907.8636474609373,14.345980644226074,41.63301086425781,123.51306915283205,1859.968505859375,17.748363494873047,40.35497283935547,7214.782346831496,47.89514160156227,7262.677488433059,Past-Guided
Equatorial Guinea,,18.00875647387032,605.4930168593269,3.0461187880771545,20.62307134804533,147.8400421142578,654.4498901367188,32.31743240356445,22.360565185546875,291.3637084960937,399.5746154785156,47.4583625793457,12.982086181640623,-48.95687327739188,254.87527465820312,205.91840138081125,Past-Guided
Fiji,,20.58949595871013,1017.4902844157804,9.531984320580856,23.897723356392117,211.181640625,2512.203369140625,109.13750457763672,78.00238800048828,289.8560791015625,1847.4505615234373,160.36325073242188,57.30484771728516,-1494.7130847248445,664.7528076171877,-829.9602771076569,DELPHI
Honduras,,121.0317529704285,4659.947466044896,25.210116536870856,93.6255391964431,141.76712036132812,899.802001953125,34.87844467163086,18.271068572998047,264.3607177734375,979.223388671875,48.63773727416992,21.778610229492188,3760.145464091771,-79.42138671875,3680.724077373021,Self-tune
Burundi,,19.15941961648309,14.647437487405544,9.152620146975778,3.5543607194062057,89.74597930908203,82.56602478027344,52.86032104492188,20.036571502685547,325.7469787597656,231.33059692382807,157.47340393066406,56.52547836303711,-67.9185872928679,-148.76457214355463,-216.68315943642253,DELPHI
Iceland,,210.4316293631866,257.2919933489058,31.104092537976022,14.185480894702104,417.7283630371094,389.3727111816406,84.18767547607422,21.467470169067383,334.5355224609375,424.2725830078125,53.30460739135742,23.39169692993164,-132.08071783273482,-34.899871826171875,-166.9805896589067,DELPHI
Ghana,,99.93886122503824,10881.902192371042,17.4677422503217,152.20618909725226,649.7462158203125,5371.1484375,84.57221221923828,79.7347640991211,413.9883728027344,686.2259521484375,72.33912658691406,9.028922080993652,5510.7537548710425,4684.9224853515625,10195.676240222605,Past-Guided
