alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3,country,domain,last_15_days_mape
1.0,2.0,0.7668132537440322,0.008052045056392565,0.06626810335009409,0.0,0.19982749607001904,302.28276709595957,1.1913013197715632,46.01332317204822,0.7775641506184985,0.005488239932419185,Chile,,47.59228237075925
0.39158237509501215,1.4610675220854654,0.9831968181676636,0.01840619627003326,0.0003914805266793664,1.109068554805404,0.08732372282196621,131.5453435352527,2.1287315860698643,0.7820987560609539,2.0,0.0014578862956587321,Canada,Nunavut,1.9089713488707256
1.0,2.0,0.23098553254638696,0.02545261921492768,0.32,0.0,0.03950522880590382,122.48175695852518,6.2407453642530175,113.92460939594406,1.8714435277836188,0.027619010553521027,Brazil,,265.26570615627867
1.0,2.0,0.676797443258293,0.018514648277353718,0.32,0.0,0.07721991084966641,335.1312400029893,1.2105722838103752,98.49813224636335,0.4282912392264677,0.012214627174275655,Canada,Quebec,96.28862971615209
0.7346763135265351,2.0,1.0,0.008952468952109882,0.0305887154129624,0.0,0.2,127.68315510209683,2.1083495063318747,50.282539620831926,0.45053242128004767,0.021825622632522034,Australia,New South Wales,142.99857089929412
0.0,1.1305343416829108,0.7516237273812294,0.001880181252321922,0.0,0.8664248964885246,0.2,0.04032198320786664,1.6271124815519045,45.01219765512616,0.8987061461079122,0.739183605371692,Canada,New Brunswick,26.216376962774646
0.6437677801023833,1.3532731538143252,1.0,0.14878056606894827,0.27382855324754607,3.653055157544148,0.2,100.0464906431877,6.735834457284705,41.98194333192555,0.015902556318407868,0.009650402293567392,Chad,,185.85369923108723
1.0,2.0,0.660517619218569,0.0017365681480454587,0.26537353337311254,0.0,0.026718143019769342,412.66676719957803,1.7239346790354357,132.41136559670406,1.9215912943227407,0.0022264874866733896,Colombia,,35.51501246507701
0.8987314819846927,1.9999967262269764,1.0,0.0,0.0,3.565684214234352,0.116569200972055,158.80688453858502,7.595013476803915,78.72173126786947,0.018624928314238787,0.00025062984100678227,Bhutan,,4.151370761089297
0.5632228799688628,1.4246132997874676,1.0,0.010583797274750895,0.15057115507030264,0.0,0.2,447.99585196447765,3.6655168595260275,116.32932523965655,0.7721991160909738,0.005996161741727388,Canada,British Columbia,15.397198051095751
0.4918126511635531,1.3273392014668886,1.0,0.0876288535542985,0.11223979605582192,3.061033377159299,0.13899168156787958,446.99445140800003,5.998866222410958,23.420910900714798,0.7678949284038517,0.0007761404626476088,Congo,,58.289402161740234
0.252394120767941,0.9797320941995507,1.0,0.01692455000166926,0.07602255915114231,0.8722045482399187,0.021501422338765123,452.6419965634109,8.199364894703978,6.592923528665081,2.0,0.0024288061612175687,Azerbaijan,,80.76873267762612
0.3392095138924465,0.0,1.0,0.2756303942542815,0.04324273598959077,4.413033824600425,0.2,132.43428844592842,8.195553089907104,32.59122052086794,0.6108239747004882,0.006898446830944531,Canada,Saskatchewan,29.547612687902426
0.813491270434893,2.0,1.0,0.14274035165753196,0.04236708712649293,4.493510678060663,0.19429483154045507,81.21075595930054,4.619624289619752,151.19797039657027,0.5552331812138505,0.001566566818222426,Benin,,70.69900819253616
0.53653060354802,1.3438839094919919,0.4562586296478104,0.015266765200554033,9.764711675330773e-05,4.06076715260652,0.04162605488121395,141.6788805362648,4.1360403347375705,160.71935559335907,1.9767087043959486,0.000886440647387285,Cayman Islands,,50.43817562643865
1.0,2.0,0.6344578933263152,0.000615669101534877,0.23527551186129453,0.7624510856840158,0.08940165686727568,401.2207591338963,7.4518431337973485,193.87419412231247,0.21696927314042114,0.04311149649705193,China,,543.6108772175759
0.42166836631461174,0.5517341108259173,1.0,0.19530645262074034,0.10261738043522625,4.5,0.14547125157628,204.09324135101625,1.611097905138454,152.30561851548072,0.1253695470819025,0.0023887198609688063,Comoros,,12.27454826639962
0.019465911196677364,0.0,1.0,0.22958366256066656,0.014861847860658346,4.5,0.2,0.1065550537733081,8.22,1.2094758718145375,1.7350237229184218,1.0,Brunei,,1.1296819233506308
0.13233892700108696,0.0,1.0,0.002271126750865049,0.00019369591548940024,3.5886912691639736,0.1580700332541831,0.0,8.22,5.829732761393435,2.0,0.20899113670338068,Canada,Prince Edward Island,25.648389477265006
0.6020800433106624,1.301464442113534,1.0,0.009976064710133459,0.000356122682468929,3.298819065676569,0.2,0.0,5.531557249258671,34.79149700192621,1.7968073700200968,0.04852990274355625,Australia,Northern Territory,14.59051692872621
0.5193431681902508,0.0467562663815424,0.0,0.005520074691593546,0.0009333502441312702,1.0467237613394138,0.13710348773897377,75.49392974311452,2.3611701889125256,32.88125413349735,1.7157981446925046,0.00045734274569039866,Antigua and Barbuda,,499.9372139191146
1.0,0.02857255027875416,0.0,0.011516609046019699,0.1369874400135122,0.0,0.08811037158776318,186.56169402765505,7.5936316165276025,72.93401122984892,0.3048594133201368,0.015312883853484378,Canada,,6439.056594296194
0.0,0.0,1.0,1.0,0.0,4.5,0.0,0.0,1.5475621719029142,168.35133105516434,1.6302146147936583,0.0,Anguilla,,3.9910986906795025
0.527535330750458,1.4321286194931857,1.0,0.010638229573312286,0.0008737115169537013,0.03632772757481195,0.11345490273079167,453.52627036262686,5.097301809950128,22.673526041222146,1.000058983752627,0.0005024309307838047,Burundi,,4.489687113645837
0.23447684822975712,0.0,1.0,0.06076381145382777,0.047896228125392105,0.5193901027760387,0.2,13.647532541399503,8.191001239597108,27.888953811592927,1.5034854994180342,0.06852698756981367,Canada,Manitoba,17.341684350883053
