alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3,country,domain,last_15_days_mape,year
0.6724831944638363,1.7511294716202537,0.508875115598556,0.06389266275664345,0.2579335019142111,3.956321984996122,0.1445874138545655,3.7004532746111254,0.9301579323662894,64.73453329425962,1.9979566904780397,0.036395051657857794,United States,Tennessee,3.6964587728460563,2011
0.40950941430941834,1.3792366546102741,0.0,0.28914935917729984,0.22428783785267603,4.257026122171456,0.003988348354197146,432.36017913670844,2.9235689148976203,95.21159347644927,1.8804706590162934,0.0014055271628138242,United States,Virginia,3.0246346196450116,2011
0.5468640000825159,0.6744695850755359,0.24128023352230538,0.03707524163027507,0.01127397053493844,0.881048596772062,0.08542852906400235,55.998350576769326,1.2536249492075664,67.28669443518623,0.4731449032034094,0.0020059376758566213,United States,Vermont,2.3028143579290528,2011
0.5039534469936126,0.4884327947372717,0.1034569911979141,0.23178947630154428,0.29339577711027764,2.299057849900599,0.023906452586573413,9.37387374429577,0.7694426053143637,139.2203615910313,1.8410364978958569,0.009359704500013206,United States,South Dakota,3.567693387518054,2011
0.35314494566223886,0.24560728802221343,0.01739150888137808,0.11010625945233342,0.11595968372840293,3.567970991651189,0.19812823683354303,82.17288556750144,1.2743630408446263,49.577851702426365,0.042150262315435505,0.0035781214461149567,United States,South Carolina,5.0329994591169775,2011
0.3731783453103727,0.7640952523177736,0.025541566342628802,0.03912811782343961,0.05256232845687606,0.02721527231941193,0.004572353859328227,280.15617910237785,1.8809698311981904,45.698026832216634,1.0197876229838019,0.004029756252884121,United States,Texas,1.7098228374124818,2011
0.430833661616677,1.6018600937168153,0.14096079533728448,0.043824987534969384,0.25976208768400205,3.0546130736233352,0.02773513261197754,82.32739372998961,5.198238138262042,73.66917338875876,0.3258864397648722,0.011571063533346925,United States,Louisiana,1.7199731007453072,2010
0.5854976905811655,1.2410448741246807,0.3988514391973377,0.38708199435060325,0.0017038932176675675,1.3972579409601904,0.12214347650175884,146.70551970377602,5.828437799544373,83.6904082574548,0.10635554701184935,0.0007814837897535166,United States,Oklahoma,2.5184875342245125,2011
0.3971244937905043,0.35191925360661225,0.0,0.003118543906374116,0.1277959111890575,0.5274623163774241,0.06195375030864173,1.4670284278721408,3.5082290608727003,0.7078636996937846,0.7962333523967118,0.11041327874538552,United States,Indiana,4.750994010606247,2010
0.6500231723851749,0.1465769330931641,0.36376652946303367,0.1574166643071909,0.01938329655183055,2.0646611802928896,0.032035751505839455,2.399517446329838,1.2879427106862313,58.16385109793554,1.0092136430911243,0.06967315757191436,United States,West Virginia,1.0151488563025919,2011
0.36422181473760235,0.12418193468812433,0.0,0.004483428796614675,0.2073040684920224,1.5859845653172187,0.12247397532159877,113.4918772623903,1.8695309034613516,74.16352075036372,2.0,0.002478627994104773,United States,Maine,0.9824268648052662,2010
0.4705078179232138,0.6275029930756544,0.4511642153820925,0.13111516461111322,0.01738714081467277,4.327187081371555,9.372947034052019e-06,0.1865826494229356,3.9550126870963442,74.08666591134752,2.0,0.9445982050137709,United States,Rhode Island,1.4850729276261136,2011
0.44170844572095774,1.6510177079199961,0.22080704381950156,0.04903729254499038,0.0583696899970451,3.486530227553745,0.14830006831857548,64.6866375715454,1.8592630121815616,58.23367208314954,1.7301383181336347,0.0026055511948927575,United States,Oregon,0.47202362251137825,2011
0.36393003798835327,1.31366382211624,0.0,0.04963519188171474,0.010455577372947758,1.0861302326775268,0.12243072063536921,17.205896283568336,1.1525796696272137,69.26821606266446,1.5810396993506581,0.08777635549794642,United States,Illinois,2.5161842510898538,2010
0.3809191960600758,0.8402884234421819,0.0,0.2398122931895596,0.2965091769762964,3.9873731714012024,4.1216058184352525e-05,1.6796646509498971,7.198566183380084,0.0,0.47815509495786124,0.08756940911237909,United States,District of Columbia,2.264124641358495,2010
0.34045083602155257,1.136405293060606,0.0,0.19970746734627934,0.3198472586654693,4.4099831396173625,0.2,74.57951061577414,0.7447664754714475,49.068445726438675,0.08676420344153657,0.021783034652224992,United States,Colorado,5.447652231639215,2010
0.3272334385268731,0.08738777874441439,0.0,0.08504316098635639,0.044788149180634756,4.421257472980649,0.010521773927254353,102.6147843346119,5.576515855306192,2.2388898046898724,0.05971078434670929,0.0022452544523887483,United States,Michigan,0.7143020621504056,2010
0.3805126052411069,0.6631759630275438,0.0,0.04922786818510297,0.3193199572831184,0.6069541030248244,0.027511304120543572,74.65900895073206,8.219787331366987,37.3752837665178,0.35758180954311536,0.0020986649839890084,United States,Delaware,2.2993147973224533,2010
0.5433659436227329,0.5918711357735492,0.1418978140623623,0.10248334771007254,0.1940836695461593,2.4234424898639766,0.040037252068235996,144.58143221239433,1.6914415396356217,49.672931558378096,0.8176735310182814,0.0008380980817615119,United States,North Carolina,0.4579728495377995,2011
0.32815939731314636,0.49254865080385457,0.0,0.1572281641072421,0.2620873591666955,3.399788897483128,0.2,0.4034103892548618,1.1095631592588102,50.44582596802771,1.3916809296024404,1.0,United States,Washington,2.45036252956379,2011
0.513086607768776,1.3347983292212173,0.15073256104714325,0.18640866479368567,0.2164843684620195,3.5890232688530728,0.2,11.581680974320472,1.1377040652390358,52.857150061607875,0.8094444120643458,0.005047352101411046,United States,New Hampshire,1.0129744059733523,2010
0.3803586798104957,1.4229252773559027,0.19493001116676642,0.32449563295704903,0.20581541488614435,0.7891817022677654,0.2,10.521902913985116,5.359368261452891,68.62617507557673,0.1809306290638375,0.01603907395321074,United States,New Hampshire,2.4393565331917944,2011
