alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3,country,domain,last_15_days_mape
1.0,2.0,0.7416766012829658,0.09910171103432927,0.09183859231529402,0.0,0.017109049413859947,152.7865752167785,7.352963906811366,90.03148572013386,1.9899219607705996,0.034303620975212244,Canada,,0.4251507113219269
0.08033229593272313,0.0,1.0,0.016532884525185088,0.022601188830821625,4.5,0.2,0.10885968661146374,8.22,36.54168572135325,2.0,1.0,Brunei,,2.119087878078552
0.19409762677922177,1.676427982414836,0.0,0.09331699077683228,0.04499888472278202,1.3310820254226454,0.2,21.454240148441954,8.22,72.42405266903916,2.0,0.04483279952024738,Canada,Manitoba,6.568876728272087
0.6493210675182421,0.0,0.33571837041578995,0.012043681952513596,0.05741022105911331,2.231255608302169,0.2,7.524771000031363,1.7665315119573748,137.51750095942373,1.2351925104606005,0.9999051875062553,Belarus,,0.6368897299848365
0.2817751402428364,0.0,1.0,1.0,0.0005733548479289752,0.02309109389869235,0.2,0.26433152873048354,8.22,51.29856073723723,2.0,0.23313909039341088,Cambodia,,1.8352811584444086
0.7503842624952491,2.0,1.0,0.004426779093793076,0.00029788001148189913,2.8406791140032457,0.0,0.23963271528097785,3.9368490732158588,74.39357537918238,0.3215907701864662,0.6455788841720725,Burundi,,2.3723635572673984
0.9521109451104498,2.0,1.0,0.17513914299400463,0.21369062276780973,0.18257950216064014,0.01749248561538873,169.38758922199258,4.153316922789483,88.31044477315027,0.9712700380616064,0.047113034905377445,Belgium,,4.442952344115655
0.5050146747052021,1.7947798887829585,0.014900327527335363,0.00039955660890167444,0.035998266175678896,0.0068610212505244884,0.004110010682522696,1.1439210496695957,2.18641040837117,157.5992561437019,1.5935293981816923,0.9999902150080795,Azerbaijan,,1.0979487533709067
0.12386395655872788,0.0,1.0,0.20381829243044067,0.10408414081356003,0.45773155538751925,0.07844174272874177,33.959335275389066,8.22,4.136317724118853,2.0,0.007215453852943569,Australia,Tasmania,3.0292960654216836
0.5030375844616972,1.664073846056214,0.47636238771245104,0.250845895194147,0.06709629702457416,0.0,0.06839303048069019,55.6662236977181,2.5889643212419866,37.60702004661405,0.3012815346401112,0.023361037699023483,Bosnia and Herzegovina,,3.7204479471356176
0.5804775702537388,0.0,1.0,0.05097523857102322,0.09554373077785314,0.31573603684054724,0.2,13.10670847605332,1.7730441380583706,37.03095514559347,1.1283287165577252,0.20528546611269147,Canada,British Columbia,1.0751828479817407
0.5438738813559154,1.9021102935949514,0.1358345427996788,0.017563777620488885,0.01238953658229992,0.0,0.19753724624765184,59.53849966102733,2.1204261785811056,161.35002746638258,1.5233303545063164,0.005194438371178232,Botswana,,3.367208391413666
0.09759072305934181,0.0,1.0,0.12770577605824146,0.015880557489271804,0.0,0.011913183480706909,46.97092935277112,8.22,2.413552593876065,2.0,0.013599576007764146,Australia,South Australia,8.972109679285877
0.7438533724740225,1.886653790741245,0.2563106112307134,0.017937300478497287,0.20674788577731815,1.6631452341221429,0.15236650246628544,13.100839228633376,0.09137167011918593,41.19158411821114,1.0550131755202663,0.366166440601102,Bangladesh,,0.08546360800866408
0.5687202338281131,2.0,1.0,0.08155853046259451,0.05015589771343102,0.8784223034058357,0.2,33.52211870412004,4.696067013499825,28.771601837609246,1.1631695601794279,0.08972639222696042,Canada,Alberta,3.4122403163640436
0.6073278484184276,0.8250169194554124,1.0,0.13566133117335427,0.09764722026946332,0.5175117933041397,0.1773081310863131,157.0322304743386,1.9146682221949103,54.88178396060182,1.011055656626681,0.004635728532545846,Burkina Faso,,1.4126182569790904
0.8676873004580536,2.0,1.0,0.005564282316754543,0.0005212630891383574,2.109572614451328,0.2,0.08631350816352809,6.857823235097384,82.19695400418216,1.0373431368086068,0.13375835215514736,Barbados,,1.7209333078149838
1.0,2.0,0.3095589947356298,1.0,0.2659140816638539,0.912268889758875,0.029713054303117346,151.49766629744298,8.219801370948069,90.91808900268417,0.6190311730909968,0.013175006592478158,Brazil,,0.5760233858916802
0.2693594954765444,0.0,1.0,0.07023274104383022,0.014731278633120024,0.0,0.2,32.74831868737101,8.22,9.262299770752934,2.0,0.17616719951649912,Australia,,6.262904831511921
0.3832797044021315,0.900184590196282,0.04834648474608767,0.008003554946010683,0.10320095781720029,0.0,0.2,25.046450690343068,4.5521455988626505,90.3636222134995,1.5114929320524728,0.0016779217126491322,Antigua and Barbuda,,1.9771791978810314
0.8041455348991263,2.0,1.0,0.01109365916219529,0.0002656280736767491,1.8972411455478362,0.2,0.7057004917984941,2.654061990998792,61.67091980278535,1.010225005079325,0.08098093111830512,Bhutan,,3.3019806973048897
0.8986416938146197,0.44645973134063643,0.2827013754976938,0.006924916176042739,0.051817950053129405,4.5,0.0,0.10354884567107007,5.774601789065705,89.77683628182758,2.0,1.0,Bahrain,,2.8907289509756837
0.44732479866164904,1.8527262026003293,0.0,0.01886822724037196,0.28151242389598186,0.2863561728057882,0.04624191474272583,136.76304485839708,2.714784688585539,63.504599875652026,0.14725269081790904,0.04268270213005938,Argentina,,0.16794795754927072
0.4343829291663262,0.1130644531989901,1.0,0.06954447161738211,0.11932971597383783,1.0595417819212876,0.2,195.1201391415992,8.22,67.63156488245889,2.0,0.006909575847156782,Andorra,,10.441491274795196
1.0,1.9997977859502833,0.24729375029765505,0.0008526615943293958,3.8832803793409365e-05,1.2518672127896693,0.19995039090795252,12.712765399855508,5.662382086620346,130.57882612022934,0.1417445674344413,9.763020801004646e-06,Australia,Northern Territory,3.9884784812623115
