country_name,domain_name,Overall_MAE
Ukraine,,7542.56408497985
United Arab Emirates,,9621.064109909703
United States Virgin Islands,,288.00408634669344
United States,,495843.80537264113
United States,Washington,8468.07739644655
United States,Illinois,40956.20083811585
United States,California,28044.40745759346
United States,Arizona,6830.506982937665
United States,Massachusetts,36669.925655741084
United States,Wisconsin,5621.473434663155
United States,Texas,22793.01023950711
United States,Nebraska,5358.361191870461
United States,Utah,3370.4728421493314
United States,Oregon,1461.6103752028773
United States,Florida,23612.44206495688
United States,New York,175578.20739531182
United States,Rhode Island,6630.082561654104
United States,Georgia,17869.523318653377
United States,New Hampshire,1516.4677192795446
United States,North Carolina,8723.798780844245
United States,New Jersey,80549.45623349471
United States,Colorado,9798.654477401518
United States,Maryland,18566.283865700305
United States,Nevada,3184.350222305513
United States,Tennessee,8393.337326694542
United States,Hawaii,155.58899097711267
United States,Indiana,15003.732212335291
United States,Kentucky,3753.8358382104147
United States,Minnesota,6174.172249377613
United States,Oklahoma,2742.593313512668
United States,Pennsylvania,34078.72793106294
United States,South Carolina,4341.293866439604
United States,District of Columbia,3466.6056911844603
United States,Kansas,3841.410852136746
United States,Missouri,5985.775640138438
United States,Vermont,80.23645427865041
United States,Virginia,14287.505829931984
United States,Connecticut,19827.44537396498
United States,Iowa,7015.019448078854
United States,Louisiana,19665.433016494964
United States,Ohio,13892.156688421544
United States,Michigan,29458.266779510068
United States,South Dakota,2191.60456289372
United States,Arkansas,2073.888207019215
United States,Delaware,3836.5650611125247
United States,Mississippi,5360.820794763699
United States,New Mexico,2848.1610823080573
United States,North Dakota,771.116385876293
United States,Wyoming,209.01782291036255
United States,Alaska,312.21268173002863
United States,Maine,517.3658096958214
United States,Alabama,5910.652893281319
United States,Idaho,1039.6222474004182
United States,Montana,362.38405555402727
United States,Puerto Rico,1174.4939575195312
United States,West Virginia,494.82270855970785
Uruguay,,353.9169075119663
Uzbekistan,,4641.717659963689
Vanuatu,,4188.89118656642
Wallis and Futuna,,464.0824146539393
Yemen,,388.726113332829
Zambia,,411.05192415479206
Zimbabwe,,653.8411878129126
