Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,,0.6594635248184204,-148.24710083007812,8.23513412475586,0.12377387285232544,0.1443261057138443,2.082667112350464,2.6356544494628906,2.6017608642578125,1.0873051881790161,35.594139099121094,20.290456771850586,1.2878735065460205
Albania,,0.7518795728683472,-156.4447784423828,9.241966247558594,0.16724994778633118,0.13322308659553528,2.2807424068450928,2.591435432434082,2.5386557579040527,1.5731121301651,90.14493560791016,27.026321411132812,1.2651126384735107
Algeria,,0.6538683176040649,-148.46652221679688,8.379583358764648,0.09219741821289062,0.14116054773330688,2.1618711948394775,2.7155656814575195,2.789226770401001,0.8454859852790833,21.78569793701172,14.330787658691406,1.2822012901306152
American Samoa,,0.6302220821380615,-144.98696899414062,7.681215286254883,0.09529848396778107,0.14655229449272156,2.218498468399048,2.8299338817596436,2.6474506855010986,1.098467469215393,12.169849395751953,13.656444549560547,1.2158173322677612
Andorra,,0.7470251321792603,-157.95816040039062,9.418658256530762,0.16011200845241547,0.13066934049129486,2.3088624477386475,2.615873336791992,2.5618228912353516,1.4898406267166138,92.8226089477539,26.569908142089844,1.2583295106887817
Angola,,0.8569819927215576,-164.74533081054688,10.108189582824707,0.2398851066827774,0.12932515144348145,2.5513341426849365,2.4614710807800293,2.4412331581115723,2.583714485168457,158.2569122314453,27.785648345947266,1.2376608848571777
Antigua and Barbuda,,0.9286671876907349,-159.2283935546875,9.534079551696777,0.3085404336452484,0.12907855212688446,2.5609798431396484,2.393946409225464,2.4402735233306885,3.0652048587799072,202.57749938964844,44.990478515625,1.190977692604065
Argentina,,0.6487351059913635,-147.2865753173828,8.183144569396973,0.09708182513713837,0.14424560964107513,2.1251578330993652,2.7026007175445557,2.7650246620178223,0.9129999876022339,20.81806755065918,15.10807991027832,1.2768504619598389
Armenia,,0.6712627410888672,-152.73318481445312,8.852320671081543,0.10412146151065826,0.13571324944496155,2.180387496948242,2.6912171840667725,2.7249369621276855,0.8980968594551086,39.3452262878418,18.2574520111084,1.2864282131195068
Australia,,0.7576989531517029,-139.52471923828125,7.430994510650635,0.065989650785923,0.14636225998401642,2.451051950454712,2.9182870388031006,2.890322208404541,1.0861244201660156,4.224601745605469,7.5506415367126465,1.2170015573501587
Australia,Australian Capital Territory,0.9010739326477051,-155.88674926757812,9.173603057861328,0.29486045241355896,0.13104555010795593,2.4598281383514404,2.427142858505249,2.4450125694274902,2.837054491043091,185.32949829101562,47.095455169677734,1.1980438232421875
Australia,New South Wales,0.709286093711853,-149.5045166015625,8.481653213500977,0.05955640226602554,0.13036687672138214,2.4928395748138428,2.95878267288208,2.941368579864502,0.697860062122345,9.751628875732422,8.95785903930664,1.2355672121047974
Australia,Northern Territory,0.9018734693527222,-155.98526000976562,9.184417724609375,0.295271098613739,0.13098542392253876,2.462899923324585,2.426058769226074,2.4447813034057617,2.8439011573791504,185.87486267089844,47.034202575683594,1.1978652477264404
Australia,Queensland,0.7130793929100037,-155.80662536621094,9.230886459350586,0.12717832624912262,0.13104890286922455,2.2715394496917725,2.667142868041992,2.6437153816223145,1.1528151035308838,62.69617462158203,22.276151657104492,1.26863431930542
Australia,South Australia,0.9434351325035095,-167.3806610107422,10.475959777832031,0.3044247031211853,0.12576670944690704,2.718005895614624,2.3469479084014893,2.424884796142578,3.2472596168518066,214.71804809570312,33.74617385864258,1.1970486640930176
Australia,Tasmania,0.9881470203399658,-168.0117645263672,10.520280838012695,0.3363213539123535,0.1243140697479248,2.8061816692352295,2.310408592224121,2.4299092292785645,3.5426666736602783,236.4010467529297,37.88319778442383,1.176641583442688
Australia,Victoria,0.6960307359695435,-156.82557678222656,9.354132652282715,0.09840650856494904,0.12845157086849213,2.3196768760681152,2.7610726356506348,2.7243454456329346,0.9126152992248535,42.977195739746094,17.225788116455078,1.2615976333618164
Australia,Western Australia,0.9274370670318604,-173.69956970214844,11.201473236083984,0.2765621542930603,0.12210709601640701,2.8173465728759766,2.3809309005737305,2.4451756477355957,3.1170849800109863,213.6409912109375,24.64527130126953,1.205728530883789
Austria,,0.7300043106079102,-136.52767944335938,7.045300006866455,0.08079458773136139,0.15517070889472961,2.285569906234741,2.8726367950439453,2.790844202041626,1.3488008975982666,4.268789768218994,8.50495719909668,1.233115315437317
Azerbaijan,,0.6664559245109558,-152.1998291015625,8.796550750732422,0.09308356046676636,0.1349266618490219,2.216766357421875,2.7258360385894775,2.7779159545898438,0.8137373924255371,31.137592315673828,16.47377586364746,1.2734978199005127
Bahamas,,0.9010154008865356,-155.90235900878906,9.175505638122559,0.29484397172927856,0.1310385912656784,2.4601190090179443,2.4269771575927734,2.4449856281280518,2.8373358249664307,185.3646697998047,47.072811126708984,1.1980857849121094
Bahrain,,0.7283424735069275,-153.03570556640625,8.780603408813477,0.15952853858470917,0.13873115181922913,2.1869149208068848,2.591007947921753,2.5283923149108887,1.4916044473648071,68.88041687011719,25.616943359375,1.2766857147216797
Bangladesh,,0.6345937252044678,-138.933349609375,7.1696577072143555,0.1146882027387619,0.15852206945419312,2.015996217727661,2.702605724334717,2.7059590816497803,1.3070683479309082,10.904230117797852,15.068416595458984,1.2551013231277466
Barbados,,0.9444518685340881,-161.50148010253906,9.781216621398926,0.316452294588089,0.1278633177280426,2.6268136501312256,2.3723347187042236,2.4375388622283936,3.2006003856658936,212.3184051513672,43.31621551513672,1.185873031616211
Belarus,,0.6056535243988037,-139.08773803710938,7.0535969734191895,0.11674445867538452,0.1608617752790451,2.0242719650268555,2.7349469661712646,2.693303108215332,1.2693582773208618,11.277233123779297,15.927621841430664,1.236632227897644
Belgium,,0.6292176842689514,-136.04934692382812,6.842161178588867,0.11980290710926056,0.1637730449438095,1.980449914932251,2.739358901977539,2.6799700260162354,1.5282845497131348,8.321464538574219,15.235336303710938,1.2426670789718628
Belize,,0.6857695579528809,-154.6703643798828,9.0777006149292,0.10052919387817383,0.1338435262441635,2.246263265609741,2.709824562072754,2.6990084648132324,0.943638026714325,36.97295379638672,16.017520904541016,1.2817108631134033
Benin,,0.8725978136062622,-164.00547790527344,10.01793098449707,0.256186306476593,0.12929894030094147,2.558408737182617,2.4422221183776855,2.421888589859009,2.7297475337982178,168.55514526367188,30.225845336914062,1.2312356233596802
Bermuda,,0.9300619959831238,-159.5979766845703,9.5743408203125,0.3089757263660431,0.1289166957139969,2.57037091255188,2.3919684886932373,2.4387454986572266,3.08013916015625,203.5679168701172,44.55928039550781,1.1911184787750244
Bhutan,,0.8893513679504395,-158.98153686523438,9.492372512817383,0.28230318427085876,0.13056723773479462,2.501992702484131,2.431579351425171,2.4353039264678955,2.81335711479187,180.88739013671875,40.80308151245117,1.2062832117080688
Bosnia and Herzegovina,,0.6713120937347412,-153.8852081298828,8.95231819152832,0.09735539555549622,0.13411186635494232,2.2202422618865967,2.7206647396087646,2.73498272895813,0.8606986999511719,36.77558135986328,17.14751625061035,1.2764716148376465
Botswana,,0.8997935056686401,-173.04873657226562,11.066254615783691,0.2691914141178131,0.1265038698911667,2.726672887802124,2.396512031555176,2.385385751724243,3.11014461517334,192.2681884765625,21.727741241455078,1.2361146211624146
Brazil,,0.623288631439209,-136.63111877441406,6.837446212768555,0.12769344449043274,0.16442148387432098,1.9448375701904297,2.731741189956665,2.647465229034424,1.568148136138916,9.943717002868652,17.147890090942383,1.2415971755981445
British Virgin Islands,,0.9225564002990723,-158.96768188476562,9.503860473632812,0.3050457537174225,0.12937112152576447,2.5465753078460693,2.400421380996704,2.439927577972412,3.0203676223754883,199.47463989257812,44.80178451538086,1.1926870346069336
Bulgaria,,0.7752454280853271,-166.9566192626953,10.326151847839355,0.18361137807369232,0.13071288168430328,2.4760851860046387,2.5746073722839355,2.475385904312134,2.0304677486419678,112.30143737792969,19.645376205444336,1.2550270557403564
Burkina Faso,,0.7959693670272827,-168.89645385742188,10.68932819366455,0.16302266716957092,0.12287386506795883,2.5874340534210205,2.5904455184936523,2.5428221225738525,1.8351569175720215,116.0855484008789,18.0654239654541,1.251785159111023
Burundi,,0.9412130117416382,-169.3484649658203,10.673555374145508,0.3077479302883148,0.12550029158592224,2.7809646129608154,2.34483003616333,2.415081739425659,3.3506526947021484,217.4494171142578,31.465065002441406,1.1891512870788574
Cambodia,,0.9196946620941162,-157.92526245117188,9.394622802734375,0.303975373506546,0.1297502964735031,2.522733211517334,2.4061219692230225,2.4424796104431152,2.98378324508667,196.76156616210938,45.91156005859375,1.1938984394073486
Cameroon,,0.6560742855072021,-153.57876586914062,8.760442733764648,0.11084875464439392,0.13740433752536774,2.2173702716827393,2.7015442848205566,2.6146483421325684,1.0032929182052612,35.460853576660156,17.29323959350586,1.2647638320922852
Canada,,0.6456983685493469,-135.8530731201172,6.791568756103516,0.11641532182693481,0.1641596257686615,2.000192880630493,2.7469701766967773,2.683346748352051,1.5841187238693237,7.3328657150268555,14.836342811584473,1.230766773223877
Canada,Alberta,0.6554995775222778,-149.64306640625,8.429698944091797,0.10423721373081207,0.14347857236862183,2.1201372146606445,2.7167165279388428,2.6593120098114014,0.9753426909446716,24.29416847229004,14.393590927124023,1.2920578718185425
Canada,British Columbia,0.6562979817390442,-153.0256805419922,8.838825225830078,0.08142735064029694,0.13310833275318146,2.269225835800171,2.7896249294281006,2.7853360176086426,0.7314926385879517,24.379838943481445,13.186383247375488,1.269865870475769
Canada,Manitoba,0.9745269417762756,-167.671142578125,10.489859580993652,0.32427704334259033,0.12487824261188507,2.7576420307159424,2.3258867263793945,2.4312820434570312,3.4347989559173584,229.63217163085938,36.182403564453125,1.1936771869659424
Canada,New Brunswick,0.9193083047866821,-157.75616455078125,9.375433921813965,0.30399632453918457,0.1298283338546753,2.5197978019714355,2.406409978866577,2.442112445831299,2.980621814727783,196.34573364257812,46.11478805541992,1.1936770677566528
Canada,Nova Scotia,0.7016028761863708,-155.29383850097656,9.129071235656738,0.12589481472969055,0.13249115645885468,2.234995126724243,2.667639970779419,2.6437325477600098,1.11081862449646,61.18356704711914,22.881847381591797,1.2674262523651123
Canada,Nunavut,0.9525439739227295,-165.1151123046875,10.190500259399414,0.3164059519767761,0.12631767988204956,2.7007133960723877,2.356177568435669,2.4324233531951904,3.2888362407684326,219.1973876953125,38.75170135498047,1.1865837574005127
Canada,Ontario,0.632336437702179,-142.0908966064453,7.535523891448975,0.10892201960086823,0.1537247747182846,2.0330989360809326,2.6950902938842773,2.722209930419922,1.1255064010620117,14.675365447998047,15.44662857055664,1.2691948413848877
Canada,Prince Edward Island,0.917432427406311,-157.66676330566406,9.365222930908203,0.30309081077575684,0.1299271136522293,2.5157113075256348,2.4082791805267334,2.442782163619995,2.968087673187256,195.4541473388672,46.12540054321289,1.1939666271209717
Canada,Quebec,0.6670832633972168,-135.03970336914062,6.797145843505859,0.10891720652580261,0.16219519078731537,2.079627513885498,2.760023593902588,2.7128002643585205,1.5408164262771606,6.016603469848633,12.135846138000488,1.2370046377182007
