country_name,domain_name,Overall_MAE
United Arab Emirates,,4328.236153830944
United States Virgin Islands,,283.59662252076913
United States,,579013.2945520106
United States,Washington,8171.675277280136
United States,Illinois,23123.473884045237
United States,California,23742.310616936484
United States,Arizona,2997.950821567589
United States,Massachusetts,36870.449972448216
United States,Wisconsin,1878.4990647007041
United States,Texas,12976.017450681875
United States,Nebraska,1564.9399375378246
United States,Utah,961.4015836044097
United States,Oregon,258.5054647956096
United States,Florida,19465.784670977526
United States,New York,188527.42424956846
United States,Rhode Island,4640.927250392
United States,Georgia,17064.542653258417
United States,New Hampshire,197.87913233797315
United States,North Carolina,3458.301984975036
United States,New Jersey,85425.4314106686
United States,Colorado,6184.841987072582
United States,Maryland,13304.513204655177
United States,Nevada,1358.014590840944
United States,Tennessee,5005.136808583434
United States,Hawaii,57.066759136361135
United States,Indiana,12028.762908720635
United States,Kentucky,1329.2661150005501
United States,Minnesota,1714.3962054185465
United States,Oklahoma,1415.255668317768
United States,Pennsylvania,29618.722810772102
United States,South Carolina,1835.5848343540245
United States,District of Columbia,1093.6304794096611
United States,Kansas,2779.1881782639193
United States,Missouri,3875.271995866802
United States,Vermont,53.60723876953125
United States,Virginia,9843.022077748474
United States,Connecticut,21873.519921101313
United States,Iowa,3920.010157840353
United States,Louisiana,19890.15720850985
United States,Ohio,12710.203473588112
United States,Michigan,27510.555506746536
United States,South Dakota,944.9950282137158
United States,Arkansas,1121.130854432012
United States,Delaware,1409.2024521088936
United States,Mississippi,2607.740448857697
United States,New Mexico,299.54285785513866
United States,North Dakota,316.5568916428257
United States,Wyoming,177.24617111850793
United States,Alaska,216.96143007950045
United States,Maine,257.3718577640157
United States,Alabama,1541.6453358824824
United States,Idaho,559.1736162212533
United States,Montana,233.2033818204638
United States,Puerto Rico,369.9880841752173
United States,West Virginia,144.49658310581262
Uruguay,,206.4544542339486
Uzbekistan,,3220.0093306420554
Vanuatu,,3914.7554656552597
Wallis and Futuna,,333.487953938229
Yemen,,159.25474397901078
Zambia,,163.83787816007373
Zimbabwe,,643.4080294756823
