Country,Domain,InSample_MAE,OutSample_MAE,InSample_MAPE,OutSample_MAPE
Estonia,,3275.186279296875,4666.91796875,154.1832733154297,66.88477325439453
Eswatini,,758.7791137695312,375.38507080078125,322.0627746582031,54.28490447998047
Ethiopia,,646.2745971679688,2295.6328125,331.796875,60.64363098144531
Fiji,,591.7614135742188,1953.1055908203125,312.535888671875,52.25086975097656
Finland,,498.8328857421875,929.2877807617188,20.001230239868164,15.520195007324219
France,,4732.935546875,16080.599609375,82.43428039550781,68.52822875976562
French Guiana,,721.2178344726562,1249.0220947265625,378.6108703613281,45.5248908996582
French Polynesia,,354.98358154296875,1502.8863525390625,93.57755279541016,50.45161819458008
Gabon,,519.1732177734375,1713.4415283203125,145.0438690185547,38.51108932495117
Gambia,,351.69451904296875,5875.80322265625,67.40123748779297,168.09011840820312
Georgia,,525.6198120117188,335.83984375,162.51809692382812,45.37484359741211
Germany,,40637.10546875,150621.5,118.30986785888672,98.8124771118164
Ghana,,773.7974243164062,4713.712890625,145.89366149902344,70.43851470947266
Greece,,2172.324951171875,1574.2540283203125,186.88714599609375,57.21847915649414
Greenland,,732.9429321289062,633.4923095703125,311.5443420410156,128.52699279785156
Guatemala,,635.296142578125,3540.414306640625,137.21710205078125,50.238582611083984
Guernsey,,692.8298950195312,813.5597534179688,296.7290344238281,322.8411560058594
Guinea,,349.68389892578125,647.3999633789062,95.41539001464844,16.34853744506836
Guinea-Bissau,,916.720458984375,587.1891479492188,115.98786163330078,36.48284149169922
Guyana,,810.923583984375,835.4487915039062,539.8384399414062,308.2825927734375
Haiti,,391.6537170410156,4172.560546875,79.11710357666016,66.4908447265625
Honduras,,507.3004455566406,2813.0615234375,109.70149230957031,65.20590209960938
Hungary,,231.56871032714844,2032.507568359375,41.7831916809082,56.11606216430664
Iceland,,500.78851318359375,207.8314666748047,91.8289566040039,11.458868980407715
India,,603.7213134765625,17960.626953125,67.56684112548828,18.8602237701416
Indonesia,,314.0607604980469,1313.7802734375,30.82382583618164,8.583582878112793
Iraq,,262.8817443847656,246.4881591796875,75.32763671875,8.695602416992188
