economy,time,EN.POP.DNST,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
ABW,YR1985,358.211111111111,,,,,,,,,,,
ABW,YR1986,358.627777777778,,,,405586592.178771,6283.00144344602,,,,,,
ABW,YR1987,358.055555555556,,,,487709497.206704,7567.25364168664,,,,,,
ABW,YR1988,357.4,,,,596648044.692737,9274.51415613905,,,,,,
ABW,YR1989,358.866666666667,,,,695530726.256983,10767.3962204623,,,,,,
ABW,YR1990,365.066666666667,,,,764804469.273743,11638.7337057728,,,,,,
ABW,YR1991,377.022222222222,,,,872067039.106145,12850.2157123975,,,,,,
ABW,YR1992,389.955555555556,,,,958659217.877095,13657.6706444765,,,,,,
ABW,YR1993,402.0,,,,1083240223.46369,14970.1523419526,,,,,,
ABW,YR1994,415.055555555556,,,,1245810055.86592,16675.2784883673,,,,,,
ABW,YR1995,428.055555555556,,,1341340782.12291,1320670391.06145,17140.4333687405,,1.12,,,,
ABW,YR1996,441.205555555556,,,1408379888.26816,1379888268.15642,17375.2253063755,,,,,,
ABW,YR1997,454.766666666667,,,1588268156.42458,1531843575.41899,18713.4253880988,,,,,,
ABW,YR1998,468.638888888889,,,1731843575.41899,1665363128.49162,19742.3167386832,,,,,,
ABW,YR1999,482.594444444444,,,1803351955.30726,1722905027.93296,19833.8267458639,,,,,,
ABW,YR2000,495.005555555556,,,1804150837.98883,1873452513.96648,21026.1670909022,,,,,,
ABW,YR2001,503.838888888889,,,1866067039.10615,1896456983.24022,20911.1927670907,,,,,,
ABW,YR2002,509.894444444444,,,2042321229.05028,1961843575.41899,21375.269123446,,,,,,
ABW,YR2003,515.005555555556,,,2193983240.22346,2044111731.84358,22050.589873287,,,,,,
ABW,YR2004,519.666666666667,1.28138864040375,,2324726256.98324,2254830726.25698,24105.5241207717,,,,,,
ABW,YR2005,524.905555555556,1.28759801387787,,2570051396.64804,2360017318.43575,24978.2216741187,,,,,,
ABW,YR2006,531.144444444444,1.27981781959534,,2762558659.21788,2469782681.56425,25832.9255649671,,,,,,
