economy,country,time,EN.POP.DNST,EN.POP.SLUM.UR.ZS,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
ABW,Aruba,YR1985,0.01957926093075805,,,,,,,,,,,,
ABW,Aruba,YR1986,0.01960204395884185,,,,,1.575409370281308e-05,0.026085452759439836,,,,,,
ABW,Aruba,YR1987,0.01957075526694014,,,,,1.894406264889682e-05,0.0314173491913287,,,,,,
ABW,Aruba,YR1988,0.01953490996942164,,,,,2.3175654107987475e-05,0.038505471179972564,,,,,,
ABW,Aruba,YR1989,0.019615106228276554,,,,,2.701663712470056e-05,0.04470354704303186,,,,,,
ABW,Aruba,YR1990,0.019954117686163148,,,,,2.970749528330182e-05,0.048321124054200505,,,,,,
ABW,Aruba,YR1991,0.02060783870531361,,,,,3.3873985335329556e-05,0.05335089670887774,,,,,,
ABW,Aruba,YR1992,0.021315023897034067,,,,,3.7237558033581125e-05,0.05670324921188389,,,,,,
ABW,Aruba,YR1993,0.02197360529550908,,,,,4.20767626252593e-05,0.06215234751927187,,,,,,
ABW,Aruba,YR1994,0.02268747350880077,,,,,4.8391599110363666e-05,0.06923160814147994,,,,,,
ABW,Aruba,YR1995,0.023398303985014593,,,,5.020842275742614e-05,5.129946195917466e-05,0.07116281577369991,,0.13249436067909298,,,,
ABW,Aruba,YR1996,0.02411733635133858,,,,5.271781968986876e-05,5.359971167539823e-05,0.07213761363367427,,,,,,
ABW,Aruba,YR1997,0.024858847972038554,,,,5.945136812525643e-05,5.9502239249104205e-05,0.0776934882902789,,,,,,
ABW,Aruba,YR1998,0.02561737092037441,,,,6.482565988890436e-05,6.468865134511807e-05,0.08196518985208882,,,,,,
ABW,Aruba,YR1999,0.026380450474326998,,,,6.750234995017662e-05,6.692379965427877e-05,0.08234511669312311,,,,,,
ABW,Aruba,YR2000,0.027059080937515804,,,,6.753225359695511e-05,7.277164204605189e-05,0.08729541791901652,,,,,,
ABW,Aruba,YR2001,0.02754208113289185,,,,6.984989078047701e-05,7.36652239593976e-05,0.08681807305814791,,,,,,
ABW,Aruba,YR2002,0.027873194474376035,,,,7.644740899048522e-05,7.620509025455084e-05,0.08874480292628804,,,,,,
ABW,Aruba,YR2003,0.02815266628553708,,,,8.212439675910901e-05,7.940070132258039e-05,0.09154856709456483,,,,,,
ABW,Aruba,YR2004,0.028407532426367583,,0.7579709679018759,,8.701834812660546e-05,8.758583613119565e-05,0.10008014414534985,,,,,,
ABW,Aruba,YR2005,0.02869399103280761,,0.7592357033396082,,9.620131890775042e-05,9.16716872403414e-05,0.10370336782149668,,,,,,
ABW,Aruba,YR2006,0.029035128906648642,,0.7576510205269912,,0.00010340721949238868,9.593539539358346e-05,0.10725188627618906,,,,,,
ABW,Aruba,YR2007,0.02939388565554122,,0.7508854095013184,,0.00011010095216311487,0.00010400942380081134,0.11485944805685855,,,,,,
ABW,Aruba,YR2008,0.029761148068251662,,0.7558396526804563,,0.00011498764719114847,0.00011043354384790577,0.12044911587647338,,,,,,
ABW,Aruba,YR2009,0.03013053689691665,,0.8018170641092766,,0.00010679574181683028,9.919869022448908e-05,0.10686928019560941,,,,,,
ABW,Aruba,YR2010,0.030473497413004424,,0.7508553013777033,,0.0001056446605322779,9.530668940510749e-05,0.10152107031579731,,,,,,
ABW,Aruba,YR2011,0.030761171114275565,,0.7488138006314833,,0.0001134871114721121,0.00010246413340182743,0.10812471222301927,,,,,,
ABW,Aruba,YR2012,0.03101148064948934,,0.7510864297879292,,0.0001081096620506575,0.00010158428788537214,0.10633123614234118,,,,,,
ABW,Aruba,YR2013,0.031244778857067227,,0.7457373574167889,,0.00011108808618141458,0.00010595971005313376,0.11008314610720947,,,,,,
ABW,Aruba,YR2014,0.031461673284424736,,0.6778224872622001,,0.00011108005611123092,0.00010840687194462942,0.11184928114058541,,,,,,
ABW,Aruba,YR2015,0.03166307525268536,,0.6697085421942773,,0.00011104841679824098,0.00011509024749511717,0.11798972386137582,0.19587506574984187,,,,,
ABW,Aruba,YR2016,0.03185050363038785,,0.670798516970954,,0.00011011772329928012,0.00011589539999720275,0.11811613811136483,,,,,,
