,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
65,French Guiana,,2020-04-24,0.10000609963507588,-199.99221383868505,14.998781232877677,0.4136291476867175,0.24995529284298282,4.999011104138869,0.6060790930998478,0.10028599533975682,3.1008039400372915,278.36988364377817,31.905743058294213,0.5329603818010706
66,Finland,,2020-03-08,1.3125563627652204,-38.290406988756644,13.158089669136311,0.13450219162467325,0.2069708966863707,1.3126442980426807,5.0,2.5341887160101613,4.947523409824021,48.81560000281207,18.682158898771792,1.0385945941873047
67,Cambodia,,2020-03-29,1.5,-83.01060231668279,11.375720686297617,0.020996022444888414,0.01,4.984282783635119,0.001,0.530441396417459,4.999643492425478,253.95520585417228,98.04753503346573,0.20001224977287935
68,France,,2020-05-17,0.11912139863809741,16.913534261966316,3.42156025768521,0.1753161535024499,0.05217161807731263,4.999865073608295,4.81434115916056,1.9162083433371777,4.808857250471156,124.9618915197694,72.14305581718686,1.3738746659276304
69,Algeria,,2020-03-22,1.4913926180754167,-96.62053501945425,7.355860989490797,0.17797286230448503,0.24997293843564838,-0.1994472108344169,0.001,2.211989633990174,4.997518620698562,113.9042833531783,56.55688302218046,0.5076867281706169
70,Gibraltar,,2020-04-08,0.1,-199.99873937537066,14.999344021641651,0.02,0.2499328013236123,4.281688033680573,0.11205044828575297,0.052807630358524156,4.672295285097043,277.4165112232854,11.908153802590538,1.9414951674852732
71,Dominican Republic,,2020-03-24,0.9681570579412283,1.4376037186297612,15.0,0.30349347420201545,0.25,4.999722157942807,5.0,0.001,5.0,106.48333473888079,34.65451624748935,0.9843778397929946
72,Canada,British Columbia,2020-03-16,1.5,-91.57799162715942,10.341187891951748,0.02,0.014264667702943063,5.0,4.809724398337034,0.001,5.0,24.7109145473402,6.490193239554092,1.919740683050318
73,Gabon,,2020-04-18,0.5553617987731797,9.73168059872571,15.0,0.3124180329777677,0.24999650579915791,4.999898968337963,0.001,1.5198033803343587,2.3262535189615985,267.3637362119607,12.275969384215733,0.20005189375356663
74,Eritrea,,2020-06-16,1.5,-199.99834573609726,14.592743448479611,0.1910972560294758,0.03716762522915321,4.392918571093793,0.0011836819346771436,0.11328536259615961,5.0,153.8743429586911,83.11927851285965,0.44912239481789673
75,Iceland,,2020-03-15,1.482109212644182,-48.5197851925607,1.0000009968277774,0.05595109765343092,0.06165857198060902,4.838440014460131,3.7063769345429622,1.5086855551156557,2.68382674784702,46.1961557105293,12.131290844772876,0.6717914481621194
76,Brazil,,2020-03-16,0.8345738146910859,-168.02642670632798,5.039607389618045,0.06551352519265251,0.2463247909496463,2.820144070485226,4.999930803371246,0.0023852822305497723,4.9970928884677495,4.442635017098017,0.22646724335539262,1.9998360510503008
77,Guyana,,2020-05-12,1.4999996455296494,-171.46757558395063,5.488000737245282,0.5,0.25,1.8078305332660172,1.2526413097665567,0.11048587877460184,4.190297357738018,163.10602451860905,5.11446263777774,0.2
78,Micronesia (country),,2022-07-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
79,Liberia,,2020-04-20,1.2733174015962208,-3.793734152875708,3.190668568412583,0.4029238848723221,0.24923969463676376,-0.1500537750014069,0.9265790115271303,0.3667667394113897,2.2134794294834137,109.65959703922272,8.291212759272133,0.29211880741939017
80,Armenia,,2020-03-19,0.7112616874818131,7.098250342151128,15.0,0.24093235937615234,0.01014396556974577,4.9997238473527,0.0011326347122306013,3.5708663275698678,3.1629115859576746,119.81129644431627,8.379554070248451,0.20020034970866943
81,Gambia,,2020-07-19,0.6315957310506608,3.7758399579879307,15.0,0.02,0.010000296272179863,4.645303653447128,2.4901303182170356,0.002345860232613927,2.4391803156796357,138.19445862663633,14.11305641499637,1.0507993519924466
82,Argentina,,2020-03-13,0.3213555507975817,-99.28168611011812,1.028968550032191,0.3205486770752507,0.07135513716786314,2.1687567839494006,4.999952271808699,0.001,3.103641171557427,0.27726545826231874,10.819812269830175,0.8518405877413966
83,Greenland,,2021-07-28,1.5,6.094989449992371,15.0,0.4497774206974086,0.020946674221261577,4.999912251447925,0.6845144880444084,0.001,0.29947823327946566,274.3477879304968,28.331467945023185,0.2
84,Burkina Faso,,2020-03-24,1.4238134494785273,-55.01446021794523,14.999858399594157,0.02,0.011903221752254181,4.999887172960279,0.001,1.2160857467647113,5.0,68.27325708115026,27.679264260421817,0.8302094744911542
85,Greece,,2020-03-15,1.5,-15.30601278847741,6.350423744137181,0.3087749930001772,0.05630321803167169,-0.1913526208721061,1.0772614271416816,0.4365488805456692,5.0,246.80507891722638,89.71336573557238,0.8902117402935118
86,Lesotho,,2020-07-09,0.1,-200.0,15.0,0.06717505034204858,0.01,-0.19972452176618025,1.1447157889188173,0.08803026301025045,0.8943721362708601,251.16252406127694,3.5341424567808333,2.0
87,Guernsey,,2020-04-03,0.1,-199.99901537523496,14.999993904602233,0.02,0.010010359310963807,4.999690586936857,0.5671504658512797,0.2576465248562114,4.660379214665401,241.34652934968472,28.90473818215336,2.0
88,Kiribati,,2022-01-26,1.4618876024096878,4.473765870435867,15.0,0.377734838763815,0.0937319344685649,4.623819081579734,4.9952611703275265,0.001,0.1820398241765524,291.1232347536784,26.856183074791225,1.089573053145708
89,Latvia,,2020-03-22,1.0824982978182565,-28.499487323569568,1.276812874488405,0.10003914769788054,0.1777451121570671,3.3141136332606718,3.309949446088225,1.3441029007590561,2.5284283046049434,64.81763655859892,20.77968667369408,0.48393622504203937
90,Belize,,2020-08-08,0.37224728233063364,4.25045470656427,14.58636405113197,0.1716737968915885,0.07311349210180483,4.868074860304399,4.9784449137909945,0.001795437534894317,2.601419189529242,59.36785382477683,3.496310939995374,0.7889797047524731
91,Hungary,,2020-03-21,0.10000027050477014,99.49235875149037,12.741770919336984,0.4807936702566878,0.25,2.035350166612129,4.999899246729342,0.45183615211944944,3.476134722096119,75.48906415186688,68.18253176209784,0.7801772919387622
92,Ethiopia,,2020-04-19,0.23644433726019085,-31.735654896679637,5.344788595473075,0.0200199813521794,0.03805851015261707,4.9988388957505485,0.0010772711000419852,0.5456450645786033,4.709479572220453,11.484920005177772,6.0424465376309655,0.26195546957918914
