,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
53,Antigua and Barbuda,,2020-09-28,3.802780873968988,2.0200963651875794,1.0512460886759447,5.358441654938433,2.669822639700126,1.2086166531575675
54,Kosovo,,2020-03-30,999.0,999.0,999.0,999.0,999.0,999.0
55,Czechia,,2020-03-13,6.632387623406155,9.226108429197948,10.63573930191088,553.905975742301,283.4912888135741,136.52678504796154
56,Canada,,2020-03-12,7.086188687407305,7.946946345673209,8.414749420817722,4813.213117542213,1906.785593051974,327.2054166985835
57,Laos,,2021-04-23,999.0,999.0,999.0,999.0,999.0,999.0
58,Comoros,,2020-06-13,5.837480411062487,6.5266680074524865,6.901226483751399,19.278187145570303,15.92701918927276,14.105732256502362
59,Austria,,2020-03-10,1.5242488071186306,14.711066323903527,21.877814974330096,191.20490668842854,286.1650822654142,337.77387333986286
60,Eritrea,,2020-06-16,2.4221965021496215,4.3902286755855435,5.4598113785398485,6.929663905196435,9.41485679495343,10.765505104603966
61,Australia,Victoria,2020-03-18,8.062608728443994,5.173439664900319,3.603239086887454,128.10920976918854,59.440346417754164,22.12031198762678
62,Gambia,,2020-07-19,4.98181140739954,4.978505591871783,4.9767089529980035,173.3982740374309,88.5205746584385,42.39139021333398
63,Guernsey,,2020-04-03,4.150742400630618,3.882593748985498,3.7368607861348906,10.459870849589157,9.071263758001196,8.316585990833826
64,Canada,Saskatchewan,2020-03-27,358.16311624745236,128.88405039225904,4.275862427480054,2300.655100751732,819.0606100935639,13.846212996733614
65,Gabon,,2020-04-18,16.003764649155347,10.769079396687411,7.924141759476573,614.865157455322,241.2944960969364,38.2669627499877
66,Estonia,,2020-03-15,26.72385077563515,91.9173449356452,127.34859176173762,1864.384458880231,1522.4266891355387,1336.5800751438578
67,Germany,,2020-03-01,2.091788290855447,37.27727097428515,56.39981591093175,3060.7712057521076,4250.600621903311,4897.2470437246175
68,Botswana,,2020-06-25,12.899074367818528,9.106807312160864,7.0457926079990925,198.4563852020966,87.92990682513131,27.86116857678064
69,Azerbaijan,,2020-03-28,164.00918243671882,64.27080271462357,10.065161561310925,9122.645994292434,3258.752161494826,71.85333932221245
70,Equatorial Guinea,,2020-04-21,20.62307134804533,9.235186590882849,3.0461187880771545,605.4930168593269,224.86941153917192,18.00875647387032
71,Fiji,,2021-04-26,23.897723356392113,14.59034313600736,9.531984320580857,1017.4902844157804,371.61090034500245,20.58949595871013
72,Honduras,,2020-03-30,93.6255391964431,49.300054093058264,25.210116536870856,4659.947466044896,1719.2415110952409,121.0317529704285
73,Burundi,,2020-06-16,3.5543607194062057,7.181402038676632,9.152620146975778,14.647437487405544,17.570693514695225,19.159419616483092
74,Guadeloupe,,2020-03-31,3.858145577409215,1.8566282851521927,0.7688471480559853,6.2541804389818765,2.9143925845470946,1.0992904897455826
75,Iceland,,2020-03-15,14.185480894702104,25.146834917104925,31.104092537976026,257.2919933489058,226.9317575271722,210.4316293631866
76,Ghana,,2020-03-27,152.20618909725226,64.91085733726906,17.4677422503217,10881.902192371042,3896.404822896166,99.93886122503824
77,Cayman Islands,,2020-05-21,2.142538128873691,1.978090266824303,1.8887164287539833,4.337907808071393,3.476231048555987,3.0079284618628317
78,Micronesia (country),,2022-07-22,999.0,999.0,999.0,999.0,999.0,999.0
79,Denmark,,2020-03-11,13.019864521913146,15.015261928750922,16.099717041162755,1322.8644664425788,683.8076085800691,336.4940988721834
80,Kiribati,,2022-01-26,16.494998742084693,13.864883432720376,12.435472938500638,504.6013187320475,285.0796809957018,165.7744430955138
81,Hungary,,2020-03-21,2.5978581580176403,4.192261820726463,5.05878555045952,92.32284431673519,58.36173223277414,39.904606100186626
82,Gibraltar,,2020-04-08,7.569163476140842,6.140743747815947,5.364428678074161,12.500046313391232,8.842006194498298,6.853940912491271
83,Cyprus,,2020-03-24,2082.8083957361087,734.3539962284419,1.498344322101287,19632.525494851172,6917.05239688092,6.469191462305645
84,Eswatini,,2020-05-02,10.295674942153171,5.827889765971788,3.3997456484819057,104.70806254614283,41.87022214695574,7.719221930006234
85,Croatia,,2020-03-20,3.8648581578324035,2.7627587815099037,2.163791729160719,85.85688164897654,42.632339189265906,19.14074002637969
86,Guatemala,,2020-04-11,58.83414305933894,29.698416318810704,13.863782220697537,5336.3279336962905,1934.5808321739719,85.8052335205376
87,Grenada,,2020-12-22,8.569520613213353,6.843634503826783,5.905652922638431,12.68289050755576,9.580686575003906,7.8947061768778966
88,Greece,,2020-03-15,15.899572165029364,16.823480117015478,17.32560400396445,439.6472068028519,273.39375683145516,183.03862097743513
89,Lebanon,,2020-03-17,13.03073606627739,5.7996677769107565,1.869739358776718,127.71987307511985,49.70859366265597,7.311159199360397
90,Belize,,2020-08-08,17.12948345993241,14.646218860578486,13.296618534842661,402.1273485060776,187.9924525116969,71.61479164518566
91,Guinea-Bissau,,2020-04-30,5.047611259503194,8.068013650321333,9.70953668880945,84.3819733508337,75.35292303653415,70.44583047441479
92,Faroe Islands,,2020-03-23,7.592492154721968,6.956450854056043,6.6107762341289105,14.19796032933008,12.516582836044488,11.602790720128406
93,Israel,,2020-03-12,4.896876267038563,10.097988359070264,12.924679713435323,800.3698443955843,379.10879801069825,150.16257714934707
