Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,,0.10000000149011612,8.990193725526714e-32,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0013919072225689888,0.0011278617894276977,5.0,299.9328918457031,0.10000000149011612,2.200000047683716
Albania,,0.10000000149011612,6.905639795716525e-21,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.009686049073934555,0.005196338053792715,5.0,298.9627685546875,0.10000000149011612,2.200000047683716
Algeria,,0.10000000149011612,2.4260101617072744e-31,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0014471298782154918,0.001149516785517335,5.0,299.9268493652344,0.10000000149011612,2.200000047683716
American Samoa,,0.10000000149011612,1.6347395694742097e-32,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.001320421346463263,0.0011029031593352556,5.0,299.9456481933594,0.10000000149011612,2.200000047683716
Andorra,,0.10000000149011612,5.121515129004096e-19,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.015893852338194847,0.008747216314077377,5.0,298.3644104003906,0.10000000149011612,2.200000047683716
Angola,,0.10000000149011612,4.1560118214368186e-22,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0071017066948115826,0.003792945295572281,5.0,299.22247314453125,0.10000000149011612,2.200000047683716
Antigua and Barbuda,,0.10000000149011612,4.63452679011489e-11,16.0,0.019999999552965164,0.01000011246651411,4.800000190734863,0.13797084987163544,0.0943637415766716,5.0,287.6702880859375,0.10004351288080215,2.1999998092651367
Argentina,,0.10000000149011612,9.407491281332749e-32,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0013965688413009048,0.001130598597228527,5.0,299.9337158203125,0.10000000149011612,2.200000047683716
Armenia,,0.10000000149011612,1.2701176723283386e-27,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.002281622029840946,0.0014867184218019247,5.0,299.810546875,0.10000000149011612,2.200000047683716
Aruba,,0.10000000149011612,2.3646051783288158e-09,16.0,0.019999999552965164,0.01000085286796093,4.799999713897705,0.21945296227931976,0.15950427949428558,5.0,281.332275390625,0.10033033788204193,2.199998378753662
Australia,,0.10000000149011612,2.7116094916971822e-30,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0016084900125861168,0.0012147424276918173,5.0,299.9071960449219,0.10000000149011612,2.200000047683716
Austria,,0.10000000149011612,5.0100887214908724e-36,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0011191051453351974,0.0010343017056584358,5.0,299.97821044921875,0.10000000149011612,2.200000047683716
Azerbaijan,,0.10000000149011612,1.7481132622608345e-27,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.002336144680157304,0.0015112622641026974,5.0,299.8049011230469,0.10000000149011612,2.200000047683716
Bahamas,,0.10000000149011612,9.913492249324918e-11,16.0,0.019999999552965164,0.010000170208513737,4.800000190734863,0.15049459040164948,0.10378162562847137,5.0,286.5157775878906,0.10006542503833771,2.1999998092651367
Bahrain,,0.10000000149011612,8.704016205412586e-27,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.002613403368741274,0.0016280724667012691,5.0,299.76220703125,0.10000000149011612,2.200000047683716
Bangladesh,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010280285496264696,0.0010066514369100332,5.0,299.9937744140625,0.10000000149011612,2.200000047683716
Barbados,,0.10000000149011612,3.1399279877553088e-12,16.0,0.019999999552965164,0.010000028647482395,4.800000190734863,0.09983934462070465,0.06539425998926163,5.0,290.6932678222656,0.10001102089881897,2.200000047683716
Belarus,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010112320305779576,0.0010023685172200203,5.0,299.9972229003906,0.10000000149011612,2.200000047683716
Belgium,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010138669749721885,0.001003037323243916,5.0,299.9967041015625,0.10000000149011612,2.200000047683716
Belize,,0.10000000149011612,1.6840653449208692e-26,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0027685430832207203,0.001701293047517538,5.0,299.7502746582031,0.10000000149011612,2.200000047683716
Benin,,0.10000000149011612,8.691425853477576e-23,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.006000228226184845,0.0032233214005827904,5.0,299.3353271484375,0.10000000149011612,2.200000047683716
Bermuda,,0.10000000149011612,3.349042917988321e-11,16.0,0.019999999552965164,0.010000094771385193,4.800000190734863,0.13264980912208557,0.090373694896698,5.0,288.08538818359375,0.10003681480884552,2.1999998092651367
Bhutan,,0.10000000149011612,7.487910844757723e-14,16.0,0.019999999552965164,0.01000000350177288,4.800000190734863,0.06379561126232147,0.039618659764528275,5.0,293.7774963378906,0.10000161081552505,2.200000047683716
Bosnia and Herzegovina,,0.10000000149011612,2.0390643078499908e-26,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.00281096831895411,0.0017202375456690788,5.0,299.74493408203125,0.10000000149011612,2.200000047683716
Botswana,,0.10000000149011612,4.836647179984875e-20,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.01194031536579132,0.006389584392309189,5.0,298.6854248046875,0.10000000149011612,2.200000047683716
Brazil,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010059436317533255,0.0010011630365625024,5.0,299.9984130859375,0.10000000149011612,2.200000047683716
British Virgin Islands,,0.10000000149011612,3.405762130648249e-11,16.0,0.019999999552965164,0.010000094771385193,4.800000190734863,0.1331700086593628,0.09068809449672699,5.0,288.0965576171875,0.10003697127103806,2.1999998092651367
Bulgaria,,0.10000000149011612,1.6036689476059062e-20,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.01053454726934433,0.005598982330411673,5.0,298.8271179199219,0.10000000149011612,2.200000047683716
Burkina Faso,,0.10000000149011612,7.49940441813258e-21,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.00979689136147499,0.005247233435511589,5.0,298.9549255371094,0.10000000149011612,2.200000047683716
Burundi,,0.10000000149011612,3.8515027509994425e-16,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.03396447002887726,0.019625922664999962,5.0,296.4813232421875,0.10000010579824448,2.200000047683716
Cambodia,,0.10000000149011612,4.878997206247959e-10,16.0,0.019999999552965164,0.010000374168157578,4.800000190734863,0.18264316022396088,0.12959058582782745,5.0,284.2343444824219,0.10014541447162628,2.1999993324279785
Cameroon,,0.10000000149011612,2.3749986909776346e-30,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.001591658452525735,0.0012037811102345586,5.0,299.90533447265625,0.10000000149011612,2.200000047683716
Canada,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010186542058363557,0.0010042216163128614,5.0,299.99566650390625,0.10000000149011612,2.200000047683716
Cayman Islands,,0.10000000149011612,8.633739881878932e-13,16.0,0.019999999552965164,0.010000013746321201,4.800000190734863,0.08615347743034363,0.055740829557180405,5.0,292.0317687988281,0.10000550001859665,2.200000047683716
Central African Republic,,0.10000000149011612,1.0647416428844228e-29,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0017054674681276083,0.0012469458160921931,5.0,299.885986328125,0.10000000149011612,2.200000047683716
Chad,,0.10000000149011612,1.1631578705792694e-20,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.010298142209649086,0.005519216880202293,5.0,298.90557861328125,0.10000000149011612,2.200000047683716
Chile,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010540492366999388,0.0010139383375644684,5.0,299.9889221191406,0.10000000149011612,2.200000047683716
China,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010108561255037785,0.0010023420909419656,5.0,299.99749755859375,0.10000000149011612,2.200000047683716
Colombia,,0.10000000149011612,5.762619627996443e-36,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0011198222637176514,0.0010339315049350262,5.0,299.9771423339844,0.10000000149011612,2.200000047683716
Comoros,,0.10000000149011612,9.789645121296726e-15,16.0,0.019999999552965164,0.010000001639127731,4.800000190734863,0.05019259825348854,0.030268514528870583,5.0,295.0334777832031,0.10000056028366089,2.200000047683716
Congo,,0.10000000149011612,6.0735576210462375e-19,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.015956876799464226,0.008660174906253815,5.0,298.2697448730469,0.10000000894069672,2.200000047683716
Costa Rica,,0.10000000149011612,1.6901661256613253e-19,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.013899697922170162,0.00755176180973649,5.0,298.5310363769531,0.10000000149011612,2.200000047683716
Croatia,,0.10000000149011612,2.081298071822777e-25,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0034259366802871227,0.002007954753935337,5.0,299.67584228515625,0.10000000149011612,2.200000047683716
Cuba,,0.10000000149011612,1.153091593012168e-24,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.003980891313403845,0.002265650313347578,5.0,299.6041564941406,0.10000000149011612,2.200000047683716
Cyprus,,0.10000000149011612,9.55755692887195e-20,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.013054871000349522,0.007085141260176897,5.0,298.6274719238281,0.10000000149011612,2.200000047683716
Czechia,,0.10000000149011612,2.4767460260314204e-33,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0012554903514683247,0.0010803741170093417,5.0,299.95654296875,0.10000000149011612,2.200000047683716
Denmark,,0.10000000149011612,3.016715692730873e-34,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.001196517376229167,0.0010599398519843817,5.0,299.9654235839844,0.10000000149011612,2.200000047683716
Djibouti,,0.10000000149011612,2.416262078578504e-27,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0023842283990234137,0.0015280458610504866,5.0,299.7948303222656,0.10000000149011612,2.200000047683716
Dominica,,0.10000000149011612,1.6501017219283654e-10,16.0,0.019999999552965164,0.010000218637287617,4.800000190734863,0.16009709239006042,0.11140114068984985,5.0,285.8231201171875,0.10008449852466583,2.1999995708465576
Dominican Republic,,0.10000000149011612,6.224578988918552e-37,16.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010916366009041667,0.0010252490174025297,5.0,299.9823913574219,0.10000000149011612,2.200000047683716
