country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Belgium,,2020-03-06,1.054630887679944,11.33047030572998,1.971185515254036,0.1997933357591726,0.0847517420571289,3.2771572548868533,1.2683965522130245,4.303728836800819,0.0523250519267577,199.7006789317948,75.90530211815485,0.4189024865915205
Canada,Prince Edward Island,2021-01-07,1.4813408152407816,-109.9591099327441,1.2469220613497936,0.1821077721305362,0.01,4.9897287216328525,0.4248235858850369,0.001,0.8402531058910512,169.69477649425787,54.63782117642028,0.2
Chad,,2020-05-02,0.1828074025907448,19.135796820384627,15.0,0.2429484177847068,0.25,3.453015701831979,4.999121415547899,1.257969974615606,4.99970102224632,46.8370721887614,0.8835492801975761,0.3730106725738812
Australia,Australian Capital Territory,2020-04-10,0.6141754357147797,8.048305568089923,15.0,0.4504424974019682,0.2102015414880235,0.2529049167946087,0.0498585401394577,0.001,1.8202653162816285,248.66755733466312,4.065677059630408,0.2
Austria,,2020-03-10,0.9189488415010768,14.204426350964194,15.0,0.3229365503679039,0.25,4.076495661031963,2.660431202972513,0.5098503175108371,3.5800207279256977,132.5027025731796,1.876874610058599,0.5007275146941123
Cyprus,,2020-03-24,1.4410787610838427,3.0126757175362773,10.927255130185788,0.0718918217262688,0.1157474300670084,5.0,2.9305542493273347,0.0026520117505072,4.947953727969964,67.27065123374244,11.968443259985111,0.4567117656381481
Cameroon,,2020-03-31,0.100048166910945,-159.22362113328415,9.351804700427806,0.233043741278855,0.0327722951244214,2.5152293990837338,0.019360560332952,3.809428372594183,4.235944454379639,0.1746303911957056,99.9999325893778,0.6735789433511299
Bermuda,,2020-04-27,0.3285947666481615,25.1106421637287,15.0,0.1857515324922447,0.1062161188728153,3.196660925650412,0.0121624153834689,0.0797656593732424,3.271444871385245,215.14862697823585,10.89499142274686,0.2079143109241359
Congo,,2020-04-15,0.274012678853797,43.17818211487922,1.000541807152964,0.2249290389051643,0.1651792787909071,1.6841231549439115,0.0238192959172199,0.2863731941820369,3.687839651675759,178.0883217614065,65.10509125455091,1.1141342161051833
Canada,Yukon,2021-06-13,0.2379626277239392,11.71115552271841,15.0,0.02,0.0355588702046819,4.768586621358753,1.011297047775246,0.9346675671288768,0.8722130651887517,71.876622828905,76.74420522475454,0.444302853564393
Bhutan,,2020-07-29,0.3588626649577247,26.707069360932984,15.0,0.1493897548022037,0.0916282044447806,2.8000430933257583,0.015351171881137,0.019571244611073,1.205810292209577,145.97232743940276,8.561694665516603,1.9996348222639129
Brazil,,2020-03-16,0.4166639874724842,17.028167097692297,12.464917371336632,0.02,0.1256839524197868,2.314286957673482,0.6237797388802999,3.247615688109517,5.0,158.19455486283383,76.60690949172125,1.1270570620465832
Bahrain,,2020-03-10,0.4945945280636937,32.32279502818626,15.0,0.273670494123595,0.0296519709281259,1.988509346977201,0.0974466169868447,0.0294127839428309,0.3243620400210663,258.5381190595954,5.191479956906738,1.1596055964249885
Canada,Alberta,2020-03-19,0.3621548964505541,33.999436107470146,15.0,0.3965829024931718,0.0338204120444518,-0.1992743864702948,1.249160678844423,0.4400134789676875,0.4983266944223539,290.67205227003524,73.22005809614382,0.8565192780171299
Australia,New South Wales,2020-03-14,0.5513989280616812,8.450836526496282,15.0,0.1722121718482464,0.1502171340064471,3.2106068304092297,4.989351436067517,1.232095032012307,2.2509231542292447,191.2484929707798,8.330363846057471,0.8503107013725453
Canada,Ontario,2020-03-10,1.4029787228833188,2.117570290771409,1.710549330262212,0.1258193975848856,0.1102133461507461,4.746868493444466,4.987725515798182,0.0842476940745241,4.999255424570193,185.87968930255025,50.79546254363894,0.6773269752216815
Canada,New Brunswick,2020-04-06,0.8676758048682767,-199.99976149467105,15.0,0.4258207845296893,0.25,4.999645748611826,0.1935487566059874,0.7502554184593117,5.0,22.890340097382506,0.3760376262924211,0.2
Cayman Islands,,2020-05-21,0.2650959287592202,-199.99997296885093,14.99974456646838,0.0804117073263809,0.0437342471630506,1.289688983761306,0.0195676554660234,0.2408754747284875,4.99991757561163,9.995238320915291,2.925857230207826,1.1900967768491666
