country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape
Dominica,,1.670619924267056,2364.291939974949,1.380188672847024,1536.6624605959114,455.18310546875,509.2485961914063,0.7704963088035583,0.7771393656730652,870.38623046875,960.5452880859376,0.8589068651199341,0.8680274486541748
Ecuador,,3016.6545402618563,1957.2013629039432,58.91359722852228,6.297609088514113,1231.4739990234375,8107.8984375,0.2264458686113357,0.1933610886335373,1514.8746337890625,16598.634765625,0.1957827508449554,0.3298887610435486
Cuba,,13.134960631202548,55.703721070567525,2.0483298518914697,2.6838811669254623,107.49114990234376,73.49567413330078,0.1481264531612396,0.0377036891877651,134.65625,79.51163482666016,0.1787705868482589,0.0414565280079841
Cambodia,,0.7839973416849616,1.4906261592734296,0.6607233749933435,1.198079994248502,427.4538269042969,501.8584899902344,0.7566899061203003,0.8022315502166748,827.0390625,937.2031860351562,0.8513676524162292,0.8833847641944885
China,,2097.5006360774582,5023.661512545393,29.72793619817356,6.177687891523144,4908.1494140625,13174.67578125,0.0949870720505714,0.1394512802362442,3455.045166015625,10112.68359375,0.1068103238940239,0.1106253415346145
Canada,Nunavut,10.662303079151126,10.966872460575765,4.957809712668765,3.985855611119028,357.6859436035156,398.0345764160156,0.597143292427063,0.5952634811401367,730.1646118164062,805.0188598632812,0.7463338971138,0.7483968138694763
Colombia,,105.43109585635894,15920.245049637271,7.86230616486774,79.57429668653234,253.58255004882807,6618.05224609375,0.1107860133051872,0.7981783747673035,289.7989501953125,5560.19384765625,0.1412087380886078,0.5813964605331421
Denmark,,452.9322696175562,1183.771990064581,21.29283712082053,11.75220662309129,424.0174255371094,505.5138549804688,0.1321560591459274,0.0515202991664409,375.6971130371094,950.6968383789062,0.1282746493816375,0.1043488085269928
Canada,,332.9288392175029,33238.362076948026,9.284851116271932,45.72881859655688,2499.783935546875,10151.4189453125,0.2000759392976761,0.1822248548269271,3033.65380859375,9295.458984375,0.2590802311897278,0.1629127115011215
Canada,Nova Scotia,17.622940594950187,10.52387180200496,4.1070649634572565,1.0079301922110997,91.18085479736328,9.139423370361328,0.1776877790689468,0.0086629055440425,129.82102966308594,68.8940200805664,0.2175231873989105,0.0616702549159526
Australia,Western Australia,9.452063237081536,11.20545490770186,2.382596593251749,1.9929799210407977,170.36032104492188,157.20860290527344,0.2792995274066925,0.218923807144165,543.9778442382812,566.4818725585938,0.540971577167511,0.5024681091308594
Australia,South Australia,17.760884201110397,26.04670412826347,4.661853343082028,5.929497651879105,325.3701171875,381.4298095703125,0.4433110356330871,0.4647559225559234,911.6570434570312,1018.086669921875,0.6856191754341125,0.6985796689987183
Chile,,565.5348448768066,12511.866113787284,31.17036524482421,26.783985468431894,1016.7763671875,20974.8203125,0.1456580460071563,1.1791599988937378,1172.8612060546875,19179.59765625,0.1766298711299896,0.9676420092582704
Australia,Tasmania,1.5268059226691826,0.7110387565887527,0.8556012477400248,0.3118591037669969,396.2752380371094,460.7480773925781,0.6397583484649658,0.6689645051956177,908.6698608398438,1013.0490112304688,0.7968741059303284,0.8162844181060791
Canada,Quebec,356.0821988745725,16798.13604374029,13.312283504220112,36.04010707847088,2840.667236328125,5827.4921875,0.1999723017215728,0.1611348837614059,2846.85009765625,5622.791015625,0.1608870327472686,0.1541314274072647
Costa Rica,,26.880841624687417,27.33913385448037,6.812459696455949,3.0234122649941217,98.88833618164062,130.42337036132812,0.1914121061563491,0.177016481757164,219.43101501464844,69.59420013427734,0.3197579979896545,0.0836730971932411
Belgium,,268.5034718340744,1123.5143444450844,2.886482282436165,2.1637149217118665,2845.06884765625,4729.873046875,0.1315521150827407,0.0871627032756805,2402.623046875,4265.669921875,0.1612589061260223,0.0793743506073951
Canada,Prince Edward Island,1.625520403799312,18.08856913560876,1.491347160397518,12.966691568619648,443.8570861816406,500.2262878417969,0.7759804129600525,0.7886245846748352,817.7163696289062,907.1153564453124,0.8585679531097412,0.871226966381073
Chad,,26.958545881550283,34.147826227336786,6.6206567578568425,3.9505621308562784,83.92244720458984,4.027587890625,0.1664689481258392,0.004651406314224,235.75933837890625,69.32433319091797,0.3110922276973724,0.0742243528366088
Australia,Australian Capital Territory,0.6379181585006717,0.4315042040788791,0.603693150881233,0.4032613941706666,453.7395629882813,533.0843505859375,0.7845832109451294,0.8321067094802856,773.8062133789062,883.4324951171875,0.8559036254882812,0.8914623856544495
Austria,,205.45047033536807,214.05908479275067,13.204072874626249,1.686974957367484,1216.1146240234375,2483.54248046875,0.1895545274019241,0.1661445796489715,746.8148193359375,1020.1060791015624,0.1784153431653976,0.0757031589746475
Cyprus,,6.431089750752566,28938.26586742829,1.486668565999307,3071.771230381957,79.85548400878906,42.432987213134766,0.1606066524982452,0.0482285916805267,162.22293090820312,41.76090621948242,0.2445793151855468,0.0474259778857231
Cameroon,,76.17216794273409,1366.2078044790192,9.649971399569692,21.8934237788593,80.69709014892578,2578.806396484375,0.0693174079060554,0.8915640115737915,87.2437744140625,2551.049072265625,0.0805654302239418,0.872732400894165
Bermuda,,2.1780500662740505,2.543715536114122,1.7230391086244226,1.7475425294972882,460.1506958007813,526.4725952148438,0.7601538896560669,0.7841041684150696,939.5745849609376,1045.8798828125,0.8593251705169678,0.8782709836959839
Congo,,10.6865822004729,67.2141941843384,4.014385853203096,8.463690270833684,324.3645324707031,115.1410903930664,0.5141522288322449,0.1540310829877853,652.708251953125,303.4875183105469,0.6721338033676147,0.278963565826416
Canada,Yukon,12.842523159633105,18.95966721524433,4.256114483021116,2.915462455101608,170.42047119140625,22.44210624694824,0.3285149037837982,0.0357213802635669,339.00994873046875,180.9056396484375,0.4809722304344177,0.2219493836164474
