,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
63,Guernsey,,2020-04-03,0.1,-199.99992473279647,15.0,0.07414850452764793,0.01,-0.2,5.0,3.1125026233727935,1.113954015695791,247.81399797488473,27.619784899561488,0.20090924023094026
64,Canada,Saskatchewan,2020-03-27,1.4999792714602636,-62.55321968909729,14.999771081762182,0.13321095038266367,0.12416939479414797,3.92184055460796,0.0014101494646945449,2.7714783847687,4.999958896331218,200.2912226859228,74.61961364080649,0.356636873632498
65,Gabon,,2020-04-18,1.4997970253527217,6.654395196854338,5.166301982179392,0.020000719741639604,0.15535998014047847,1.2603654002165225,0.9510778315802748,0.0034853281428567596,0.19373179769646892,18.16011589609518,84.29410424904304,0.20022238644087706
66,Estonia,,2020-03-15,0.5964512065170966,8.548772771208311,15.0,0.49221218269739536,0.24797855643882002,0.9732199559759357,4.861798813583673,0.007826404141609069,4.614614821766086,232.01167322940614,18.718833648052843,1.6891105689144919
67,Germany,,2020-03-01,0.9279214415865212,18.313313546058158,2.8840985308443856,0.15479892391654332,0.18313861663242126,1.6807264300608444,4.869676178504675,4.325531332674185,2.589901258703321,215.39902149513364,17.78730303337003,0.315868281708966
68,Botswana,,2020-06-25,0.30331105990057394,23.513488009451738,1.9470408705444238,0.4999222374428967,0.09683035076321005,3.2860979374235044,0.013606936807535901,1.6982722436290458,4.999982959320331,228.6344079718779,86.31007223769535,0.33717761849824335
69,Azerbaijan,,2020-03-28,1.4998991766412442,-90.08946408929205,8.099184384581434,0.13323026443371128,0.20344889968183535,3.3643443177326056,5.0,0.0010506475204544912,3.565861497932551,134.24325491553256,46.56899506420957,1.5965260886973132
70,Equatorial Guinea,,2020-04-21,0.2590852909220847,91.55640534620373,1.0001140740064667,0.29906585226897603,0.01948726824073677,4.953737192730208,1.1807001872460339,2.849651422011399,0.07008576204611368,266.5036342921851,58.92115591691465,0.28884191069190407
71,Fiji,,2021-04-26,0.5648149344517971,-138.0113294790937,9.89735511559076,0.02,0.09868411469322136,4.999995434723683,0.1930402624945681,0.011938575211734633,1.9158467843033256,0.0,36.28437630985262,0.22940946510424967
72,Honduras,,2020-03-30,0.23912798718079506,-6.766708149993471,2.7752618965420037,0.23169880775459642,0.21933586960751647,2.3355769300985667,0.3776161193380781,0.8404226366454928,2.998104214565556,37.9199590699076,74.14268734515383,0.2157243603373809
