,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
24,Canada,British Columbia,2020-03-16,0.10007507446117068,97.20372619059346,12.546635528725622,0.025519760011278318,0.13566791302345388,0.39996613531489783,4.9936558993529685,2.2338350817567605,3.6740684290270105,79.16045956982164,35.78807074743659,1.0029925905978463
25,Canada,Ontario,2020-03-10,0.8006562511338529,15.170748066892294,7.698166794168166,0.023811916039725246,0.15816291457073905,-0.2,2.6924819526648744,0.9185448953434665,0.39369437710546673,35.0090519905969,25.01616384003288,0.21554626598899257
26,Bhutan,,2020-07-29,0.35632449709156094,26.78081426801471,15.0,0.02,0.01,5.0,0.41593087332668793,0.001,4.999945095665434,46.200335987060676,0.32675897788340647,0.2253297514234223
27,Bulgaria,,2020-03-22,1.4970316720124288,-21.015917674421562,1.0008453557833143,0.02,0.23834580330736785,0.887901735466567,0.0011576346959377244,0.5763830584119507,4.942933939031445,159.1664955456223,43.66718065837014,0.6682692545696375
28,Chad,,2020-05-02,0.23956462105982765,-199.98814854126078,14.994072372129622,0.09631968948068004,0.15401043193208172,4.999999998865496,0.8683385082510623,0.32377315768705967,1.915574882586476,3.022784962471378,11.024682949035897,1.9263440930278322
29,Austria,,2020-03-10,1.4999224221258851,-30.382858240484502,8.045745641189285,0.05329957008264676,0.05559764256107112,-0.2,4.2591351495342735,2.3876687269919636,4.999977184294665,12.104748780647622,1.171771682670549,1.3435331786447595
30,Bahamas,,2020-05-30,1.498177587790621,-195.73613366059422,13.104258413405692,0.02,0.01,4.999682045216425,0.001,0.00109484547298284,4.998820955273414,85.34472872051093,31.545350571316845,0.2
31,Belize,,2020-08-08,1.1649401625114844,2.374659488929923,4.129676469180456,0.23592866752842048,0.021848635905758154,0.7694558748280631,5.0,0.003900616337789051,0.08632801616380939,57.29792674601072,88.58049133407837,0.289565488203819
32,Brunei,,2020-03-25,1.5,-199.99984277673101,14.99998245355285,0.5,0.028977000677758546,5.0,0.4273402731643384,1.0850971146478947,5.0,39.8719277078588,1.9893197116459786,0.23808203244057427
33,Canada,Alberta,2020-03-19,0.3045781520318765,34.28622071598061,15.0,0.04618604400442232,0.186351599520353,3.8887671804511403,5.0,5.0,4.91008009020131,130.4875507072831,38.12453263746252,0.22669662979510005
34,Cook Islands,,2022-03-06,1.5,12.21147353339842,14.910265494340006,0.02,0.01,5.0,0.4541005910324356,0.045875653263677305,5.0,35.548163605883765,7.763832287899483,0.2
35,Australia,Queensland,2020-03-19,0.1000887732612759,4.879182781988498,15.0,0.1103992413664939,0.01,1.8645110026847287,5.0,0.001,4.999880760939365,41.6572668772049,1.3685131356243667,1.0434467726582057
36,Albania,,2020-03-25,1.3005665302130398,-27.278719636388725,1.0,0.19488678272941987,0.1483576580023194,4.5639763625725225,1.1832472714225049,4.6713106184037425,1.8177277130426672,298.97820238661325,7.578268962724712,0.2
37,Argentina,,2020-03-13,0.9239041471343017,6.195799107795413,15.0,0.5,0.07209750392141862,-0.2,3.2081523018666047,3.5107490602646725,3.6471956599761866,170.95731690095934,70.05328416996315,0.2
38,Belgium,,2020-03-06,1.4932336887763642,8.08044066149467,6.104040769357981,0.1381245383796572,0.1664760976917424,-0.2,3.730338439688594,0.3509099844593454,0.43869583819632496,0.6237567834972054,18.256194440944885,0.2
39,Benin,,2020-05-10,0.42901038422888527,36.61187879509301,11.189331313839562,0.5,0.01616918210556071,-0.2,0.001217015469685774,0.2752025431458066,0.7643791575371697,258.68628482884685,68.61054127453826,0.2
40,Burundi,,2020-06-16,0.327884934352732,23.690487337182173,15.0,0.02,0.01,5.0,0.001,0.6454450952463052,5.0,178.74895272164065,62.20235680136592,0.2
41,American Samoa,,2022-03-01,1.448067077734196,-168.24800924406352,5.642806196677642,0.02,0.010715132840985598,-0.2,0.8329261909280707,0.1978897434173971,1.2436042910902405,8.578182500857649,11.30249394857992,0.2
42,Central African Republic,,2020-05-05,0.4284779682657529,34.154753002693404,8.487149758149503,0.02,0.028075727602081654,-0.2,2.2353849142994497,0.055378389605926094,4.565221584934047,287.2633649169777,18.67514065296593,0.2
43,Faroe Islands,,2020-03-23,0.1,-200.0,15.0,0.02,0.01,5.0,1.9217333403450794,1.7244818253975096,3.7391980725197578,25.81682734515393,0.871583804855089,0.2
44,Comoros,,2020-06-13,0.21693183061006938,-20.042396069805655,15.0,0.3886008165730168,0.06340799583599077,3.650092717205906,5.0,0.001,4.975427053141386,31.075430731300475,3.4348036318108606,0.3028106424114883
45,Djibouti,,2020-04-08,0.11137711197217494,92.98238251524093,14.847568992202524,0.027065685346511624,0.026786743261880953,-0.2,0.1022204142480493,0.6149389654139177,4.8340119645240724,34.97149527643071,81.49477868446328,0.2
46,France,,2020-05-17,1.5,12.956534127084296,15.0,0.5,0.25,1.0471083806018477,5.0,5.0,4.5624431026764265,163.98190700719624,48.19575126301816,2.0
47,Canada,Manitoba,2020-03-31,0.20727075475383983,-195.29089947496013,3.1346865166846545,0.12741151843629336,0.030315665685191645,-0.08889966759895822,0.002301866792603996,5.0,4.075535587526533,164.61521772869028,83.15752345985712,0.22286946723477655
48,Angola,,2020-06-11,0.44607487400355245,15.406224898942984,14.999973215577473,0.42845155716999567,0.12217933635455075,1.3633933892940782,0.0036284902758512813,0.4734014442185496,4.912818865946078,132.73826062282322,57.623888703978274,0.2
49,Finland,,2020-03-08,1.2974009440106755,-0.6780280005222628,2.560198660257899,0.2454038016513916,0.08998548073056033,0.627071522420778,3.0701977918203514,3.9479638395631658,0.5329707574848108,2.7232999578889765,0.8636100441128377,0.30922740460161124
50,Bahrain,,2020-03-10,0.3905361494830602,33.362490592549406,15.0,0.04043385210392194,0.02528239421910771,5.0,0.001,0.1493608606954921,4.999949233664403,48.30207657652842,1.6909351139208464,2.0
51,Algeria,,2020-03-22,1.1643301186973767,6.797967311156665,15.0,0.32962533192889587,0.25,1.1419544523602116,3.4176370302915084,0.001,5.0,101.13723508058418,30.365550318879674,0.4827045227429187
52,Colombia,,2020-03-20,0.762071380072827,12.712043002301572,14.999992651552114,0.14749985532999726,0.09187456343498998,0.4541795961940868,4.268857191898581,0.3207970642932079,5.0,120.89654758320746,43.092107313312674,0.2173645262075624
53,Costa Rica,,2020-03-22,0.20845868956464655,16.711445838344208,14.999795417136326,0.058419565928125125,0.01,-0.11803409564561088,4.955495139537338,1.9006925786683877,4.99989600828583,53.03641592470633,9.792114249961951,0.2519557066410239
54,Brazil,,2020-03-16,0.605511328935307,15.991181264061828,7.196300188661573,0.145624329789124,0.08866320660285641,-0.2,5.0,3.070630603056511,3.2757191948309177,102.75213206565155,42.61620333035102,0.530841890046083
55,Egypt,,2020-03-15,0.4353471552576314,13.24934901633469,2.6559798428537276,0.2747479110229577,0.14137506063260225,0.5392986441063203,3.2256604679436247,1.107586043840901,0.787550184030843,16.794454096005126,100.0,0.2260114160051409
56,Gambia,,2020-07-19,0.6590366270090791,14.847035375465987,3.3831932226975794,0.02,0.01,5.0,4.018075506541582,0.9379953908526959,0.15664709659352286,162.93928241636345,76.23660945651702,0.2
57,Australia,Victoria,2020-03-18,0.45959465056671706,7.261653611012044,15.0,0.261286566336839,0.01396042479418178,-0.2,4.999999993562969,1.3428431548268667,3.6296422756370976,30.92830002152499,1.335927393332574,0.4207269219130908
58,Chile,,2020-03-17,0.108105361429489,15.654899089387488,14.999993061059683,0.033848726525540246,0.0466381908305416,0.38783486413891194,3.5034083923713877,2.900609490559807,3.8698328826813584,9.264241047794453,68.61702663399562,1.0548203810181382
59,Australia,Australian Capital Territory,2020-04-10,0.6016174905185001,8.180005690225537,15.0,0.2850193716484841,0.01,5.0,0.004547385940893195,0.001,3.9484354659456518,199.7550448419414,18.08710991431017,1.5699053482509604
60,Guadeloupe,,2020-03-31,1.4704677973202105,-128.13173836796395,3.562841614382001,0.06555704684203888,0.1468232971244402,-0.2,1.2450816470249884,0.4845901660958329,4.754799000947357,161.94443254592662,39.52757648754247,0.2
61,Gibraltar,,2020-04-08,1.5,-56.685577124649136,1.4118307368767788,0.02,0.01,5.0,0.007798105229818644,0.8888231491645828,4.715353851203591,84.47495420557523,15.346747973028364,0.2
62,Antigua and Barbuda,,2020-09-28,0.25278961553279167,19.5905234480999,15.0,0.02,0.01,5.0,0.0012858462448663672,0.2041030019421898,4.137944529812912,103.70125073773129,36.613048526668926,0.2
63,Guernsey,,2020-04-03,0.1,-199.99995141411245,14.99980231501152,0.16843334087059691,0.06768305485731894,0.486833651328986,1.4662589274719837,0.8004724761204817,4.999071502848306,45.31830630204271,0.6511601387363924,0.7229868839637031
