,country,domain,first_day_above_hundred,Last_15_Days_Case_MAPE,Case_MAPE,Train_Case_MAPE,Last_15_Days_Case_MAE,Case_MAE,Train_Case_MAE,Last_15_Days_Death_MAPE,Death_MAPE,Train_Death_MAPE,Last_15_Days_Death_MAE,Death_MAE,Train_Death_MAE
0,Democratic Republic of Congo,,2020-04-01,202.30354452536815,70.47322584040701,37.50907360938368,7664.107066190639,1780.5285469873859,140.3137321217068,188.54136854465867,67.50961281640213,25.986097255509126,509.9090890823679,149.77021921696365,54.58794200008756
1,Cuba,,2020-03-29,4.350585198558217,3.5859876192544493,3.64195561625728,87.12520458399007,39.66656017895134,23.832079722158394,17.932804772808492,7.835555385018194,4.894516799913977,14.805547135661046,4.448270877037816,0.9629370255250763
2,Anguilla,,2021-05-12,2.169735742841793,0.5830640741775865,0.03394557396470161,2.4230223972115055,0.6497814784963395,0.03700067562152475,,,,0.15609991934251033,0.10052096562294525,0.07411595330505441
3,Australia,South Australia,2020-03-23,0.15402003819307816,2.762819065508971,4.186943719985583,0.6773887185639182,9.71614850166103,14.65644070956273,38.85491845667856,33.001307457056974,28.815297290345587,1.5541967382671424,1.199236044231201,1.0207347625355687
4,Congo,,2020-04-15,23.051138233039755,8.954626730540605,4.50829626957795,205.384903338765,58.548958530401535,11.427960332211738,7.609787527828146,6.999441990462421,7.225551221842069,2.2146614402055205,1.034153813989699,0.6580733154608397
5,Cambodia,,2020-03-29,1.7685684693955044,0.8729218110602899,0.6718682604607009,2.2076009022061838,1.0609065402155582,0.7964879459430748,,,,0.2107559421937823,0.13241559047985235,0.09527342747250875
6,Australia,Tasmania,2020-04-09,4.190739064136446,5.2465772222367,5.8066852178643185,9.554885066231096,10.916517540160964,11.625260223160032,1.9882572335230688,5.290873782754072,7.173194298530781,0.258473440357999,0.4914728925077949,0.6294676577923356
7,Cayman Islands,,2020-05-21,2.5370662971591385,2.0031927113391106,1.9113730213029554,5.15024458323305,3.5201366940500076,3.0430933214703315,34.452241903492556,20.358027121507934,13.775937786892728,0.3445224190349256,0.2035802712150793,0.13775937786892728
8,Curacao,,2020-09-09,12.23943996369586,5.5297350952091415,3.4767015211777377,136.72674945601253,42.58102106881964,11.46733045600377,21.69485728091699,36.07346730431405,30.15957450518978,0.30113243217716706,0.37851999544482984,0.3015957450518978
9,Canada,Nova Scotia,2020-03-28,7.457713152189482,14.02366807548098,17.6858703241782,78.6724928723449,84.89803479144231,89.51388945310347,22.084215239097897,29.636970278328796,38.64894077216961,13.182599565816554,4.930036081004225,2.1746357579327578
10,Canada,Prince Edward Island,2021-01-07,17.456103901648753,5.5295442351542805,1.4565004311693777,24.693753171840207,7.426095916436865,1.5868621367964664,,,,0.1760638212626282,0.1106699947452838,0.07973780406976934
11,Aruba,,2020-05-06,3.213781898959583,0.7055034252614079,0.032602613792774834,3.361160271877035,0.7369050554142731,0.03292863993070259,9.4326213238581,9.554042251724828,9.620031863311448,0.2829786397157431,0.27775167307252574,0.2749109296379401
12,China,,2020-01-19,7.2881737628836385,24.55125075851274,34.0551095947555,5943.91297149929,3561.171142761955,2375.348211630504,1.708524523091141,5.695588361477225,8.096371971326718,55.89806592840193,27.761134120640428,20.29129084546884
13,Australia,,2020-03-12,1.0943279844798612,3.965457825300198,5.0227745531330275,75.92579431141597,139.62675111128493,140.60672838816646,6.594281417706149,10.081363252245522,11.941707706256526,6.769549922414925,3.779548009009326,2.1934201925054664
14,British Virgin Islands,,2021-01-06,23.474474025762042,7.038906901891334,2.5401078845899954,36.13260487900228,10.48813150914422,3.3813865004441808,22.748447213159206,13.442702536443548,9.175603610458873,0.22748447213159206,0.13442702536443552,0.09175603610458873
15,Czechia,,2020-03-13,12.101428540013053,13.829548008637962,15.927288456926467,1025.0188406169104,480.91161458927746,293.2725965350023,7.098617899251902,35.60422765560427,56.81440537758144,20.874238363531013,8.981604778495335,6.008389827526381
16,Bolivia,,2020-04-01,21.617107329885826,8.934211280391937,5.027572521731245,2473.5515542776384,595.8178782682971,25.48607742636001,31.25737753379882,11.488702275697303,5.810152145273819,118.1312727829585,28.347660265810116,1.6579821127023409
17,Andorra,,2020-03-22,1.3880918571502738,3.370889232544704,4.345576365151434,10.582618997485026,15.480141928336275,17.383043005569096,1.9139807551388943,9.901602473280601,14.53585019645729,0.9761301851208363,1.0942040589065807,1.3114730518816813
18,Botswana,,2020-06-25,23.513354906489223,10.304074104229233,6.441240166774202,376.0301610851384,111.274037568971,27.109582375788317,32.18730216943283,26.05670763106366,26.277637712294847,1.9034195697182268,0.6407621639638722,0.28633627213304086
19,Bermuda,,2020-04-27,2.415271286581475,1.8805008826748946,1.8532673090495586,3.526296078408954,2.5069244897513308,2.3419542764995414,3.3146741299446685,3.4075147905530594,3.6350443400680548,0.2983206716950201,0.2759646736261144,0.27975121486308285
20,Cameroon,,2020-03-31,26.529899553746628,12.27951233450458,9.10017207979374,1969.7817748200614,499.7062737786136,78.9812422833406,74.64063368787934,28.91404606308164,15.524616284717464,153.4142902545979,40.90264818665982,5.724463864548654
21,Canada,Nunavut,2020-11-21,3.241258167329021,2.7329319088042068,3.0093351747815738,9.09843880829624,6.311475854377865,6.370546437007039,79.08336895092215,47.40404398723661,16.86299029812076,0.7908336895092213,0.4188092107685593,0.2759231269697579
22,Australia,New South Wales,2020-03-14,3.755193669472668,4.968565752947769,5.531006109173496,115.33297426873445,89.17400597834903,72.30462904203758,1.8583409147357555,11.893502772805437,15.419605693285565,0.8338614654653829,1.9987864773863728,1.826138255430522
